Sex Length Diameter Height Whole_weight Shucked_weight Viscera_weight Shell_weight Y outlier number
-1.15435 0.63298 0.72680 0.37023 0.37782 0.41288 0.07214 0.61909 0.33077 1.00000 2269
1.26194 -0.74112 -0.83526 -0.46665 -0.98452 -0.90281 -0.88132 -1.03337 -0.91001 1.00000 2446
0.05380 -1.28243 -1.33915 -0.94487 -1.23640 -1.20020 -1.41051 -1.14114 -0.59982 1.00000 2360
1.26194 -0.99095 -0.98643 -1.06442 -0.99166 -0.81495 -1.06380 -1.10163 -0.59982 1.00000 1597
0.05380 -0.49128 -0.58332 -0.70576 -0.85706 -0.87578 -0.71709 -0.77472 -0.59982 1.00000 620
1.26194 -0.49128 -0.38176 -0.70576 -0.78262 -0.88254 -0.77183 -0.52326 -0.91001 1.00000 2026
0.05380 0.09167 0.42446 -0.10799 -0.04332 -0.16837 0.00371 0.08025 0.95115 1.00000 3711
-1.15435 -2.73981 -2.64927 -2.14041 -1.62491 -1.57418 -1.57474 -1.62970 -1.84060 1.00000 3106
0.05380 1.46577 1.38186 -0.22755 1.48320 1.41091 1.76464 -0.31491 0.64096 1.00000 4091
1.26194 -2.65653 -2.69965 -2.14041 -1.59636 -1.54489 -1.53825 -1.61892 -1.22021 1.00000 255
0.05380 0.54971 0.67641 0.48978 0.55627 0.53228 0.68345 0.40355 0.95115 1.00000 56
1.26194 -0.15816 0.17252 -0.34710 -0.44305 -0.51532 -0.39319 -0.27899 -0.28962 1.00000 2927
1.26194 -0.03325 -0.02904 0.01156 -0.31049 -0.32833 -0.31563 -0.24306 1.57154 1.00000 1511
-1.15435 0.25823 0.12213 0.13112 0.08312 -0.23370 0.70169 0.08025 1.26135 1.00000 2040
0.05380 0.54971 0.57563 0.48978 0.55423 0.66070 0.65607 0.40355 0.95115 1.00000 3560
-1.15435 -0.36636 -0.38176 -0.94487 -0.64292 -0.52433 -0.72165 -0.74599 -0.59982 1.00000 3735
0.05380 0.42479 0.62602 0.60933 0.08210 0.34078 0.14969 -0.00597 -0.28962 1.00000 3990
0.05380 0.71626 0.62602 0.48978 0.38394 0.30023 0.40973 0.58317 0.64096 1.00000 641
0.05380 1.63233 1.68419 0.96800 1.71672 1.67901 1.64146 1.88359 0.64096 1.00000 290
1.26194 -1.24079 -1.28876 -1.42309 -1.23436 -1.10107 -1.25540 -1.32076 -1.22021 1.00000 1239
1.26194 -1.99030 -1.84304 -1.66219 -1.48521 -1.42774 -1.47894 -1.46445 -0.91001 1.00000 1141
1.26194 -0.74112 -0.73448 -0.70576 -0.85196 -0.70681 -0.78552 -0.99745 -0.91001 1.00000 2459
1.26194 -0.69948 -0.63370 -0.46665 -0.69696 -0.73385 -0.66234 -0.56637 1.26135 1.00000 3242
-1.15435 -1.57390 -1.49032 -1.54264 -1.24149 -1.23399 -1.28278 -1.10522 -1.22021 1.00000 2590
-1.15435 0.17495 0.12213 -0.34710 0.29726 -0.02869 -0.06016 0.47540 0.95115 1.00000 1465
-1.15435 0.50807 0.67641 0.25067 0.48183 0.77559 0.16794 0.35685 0.02057 1.00000 3989
0.05380 0.84118 0.97874 0.84844 0.65519 0.84769 0.68801 0.47181 0.33077 1.00000 341
1.26194 -0.19980 -0.12981 -0.46665 -0.59499 -0.64373 -0.65778 -0.43345 -0.28962 1.00000 557
0.05380 -0.03325 -0.02904 0.01156 -0.02293 -0.35987 0.02196 0.15209 2.19193 1.00000 3791
0.05380 0.71626 0.82758 0.72889 0.62867 0.45568 0.92979 0.75560 0.64096 1.00000 2892
-1.15435 1.13266 0.97874 1.44621 1.63514 0.57283 1.06209 2.66671 2.50213 1.00000 875
1.26194 -0.44964 -0.38176 0.01156 -0.67351 -0.67527 -0.53005 -0.67414 0.02057 1.00000 3437
0.05380 0.92446 0.87797 0.84844 0.77959 1.56636 0.83855 0.60472 -0.28962 1.00000 4086
0.05380 0.09167 0.12213 0.25067 -0.18812 -0.36437 0.04933 -0.17122 1.26135 1.00000 4123
1.26194 0.21659 0.37408 -0.70576 -0.07187 0.08395 -0.35213 0.15209 0.02057 1.00000 869
0.05380 0.17495 0.02135 -0.34710 -0.27582 -0.27876 -0.31563 -0.20714 0.33077 1.00000 1524
