Cylinders Displacement Horse_power Weight Acceleration Model_year Origin Y outlier number
-0.86401 -0.92251 -1.02672 -1.09933 0.23905 1.36460 -0.71664 1.40526 1.00000 118
-0.86401 -0.56848 -0.53247 -0.69854 -0.95862 1.36460 -0.71664 0.84080 1.00000 339
1.48395 1.02945 0.92426 1.37144 -0.55940 -0.53807 -0.71664 -0.95521 1.00000 110
-0.86401 -1.17129 -0.92267 -1.60858 0.89233 -1.35350 1.76941 1.48223 1.00000 116
-0.86401 -1.18086 -1.02672 -1.34570 1.98112 -0.53807 1.76941 1.09737 1.00000 163
-0.86401 -1.00863 -1.15679 -1.19010 1.18267 1.09279 1.76941 1.87992 1.00000 287
-0.86401 -0.77898 -0.24633 -0.88361 -0.55940 -1.35350 1.76941 0.19937 1.00000 341
-0.86401 -0.92251 -0.37639 -0.84000 -0.01500 -0.80988 0.52638 0.32765 1.00000 314
1.48395 1.96715 1.83473 1.65907 -1.28526 -1.08169 -0.71664 -1.21178 1.00000 378
-0.86401 -0.41538 -0.37639 -0.36258 0.16647 0.82098 -0.71664 0.63554 1.00000 301
-0.86401 -0.92251 -0.94869 -1.09933 1.07380 0.27736 1.76941 1.03323 1.00000 269
-0.86401 -0.52064 -0.68855 -0.45453 1.07380 -0.26626 -0.71664 -0.05721 1.00000 285
-0.86401 -0.92251 -0.63653 -1.25258 -0.41422 0.82098 -0.71664 1.57203 1.00000 114
0.30997 0.29268 -0.24633 0.95178 1.25526 -0.26626 -0.71664 -0.69864 1.00000 89
-0.86401 -1.06604 -1.13078 -1.14884 1.25526 -0.53807 1.76941 1.09737 1.00000 368
1.48395 2.48385 3.00532 1.62252 -2.37405 -1.62532 -0.71664 -1.21178 1.00000 115
-0.86401 -0.56848 -0.53247 -0.57477 0.05759 1.36460 -0.71664 0.48160 1.00000 49
1.48395 1.04858 0.40400 1.16043 -0.59569 0.00555 -0.71664 -1.01935 1.00000 387
-0.86401 -0.92251 -0.63653 -0.95906 -0.19646 -1.08169 -0.71664 0.58423 1.00000 130
-0.86401 -0.51107 -0.87065 0.25040 3.36026 0.82098 0.52638 0.48160 1.00000 186
-0.86401 -0.71201 -0.45443 0.00167 1.43673 -1.08169 0.52638 -0.31378 1.00000 144
-0.86401 -1.10431 -0.89666 -1.06515 1.43673 -1.35350 0.52638 0.84080 1.00000 70
-0.27702 -0.10919 -0.71457 0.65119 1.65448 0.82098 0.52638 0.25068 1.00000 6
-0.86401 -0.99906 -1.46895 -0.75748 2.96104 1.09279 0.52638 2.55984 1.00000 256
-0.86401 -0.52064 -0.55849 -0.39912 0.52940 -0.26626 -0.71664 -0.05721 1.00000 372
-0.86401 -0.83639 -0.48045 -0.60541 -0.01500 0.00555 0.52638 0.58423 1.00000 123
0.30997 -0.36754 0.45603 -0.20109 -0.74086 -0.80988 1.76941 -0.44207 1.00000 83
-0.86401 -0.92251 -0.74058 -0.98263 -0.30534 1.09279 0.52638 2.31610 1.00000 352
-0.86401 -0.93208 -0.76659 -0.84000 0.96492 0.27736 1.76941 0.32765 1.00000 233
-0.86401 -1.00863 -1.10476 -1.33509 -0.08758 1.09279 0.52638 0.81514 1.00000 308
0.30997 0.35966 -0.11626 -0.03841 0.16647 -0.80988 -0.71664 -0.69864 1.00000 101
-0.86401 -0.48236 -0.22032 -0.36848 -0.59569 1.63641 1.76941 1.09737 1.00000 35
0.30997 0.03433 -0.24633 0.14666 0.34793 -0.53807 -0.71664 -0.44207 1.00000 212
1.48395 1.49830 0.87224 1.15218 -0.84974 0.82098 -0.71664 -0.89107 1.00000 138
-0.86401 -0.69287 -0.48045 -0.89304 -0.55940 -1.35350 -0.71664 -0.05721 1.00000 195
-0.86401 -0.52064 -0.48045 -0.22112 0.02129 1.63641 -0.71664 0.45594 1.00000 270
-0.86401 -0.70244 0.22191 -0.87654 -1.10379 -1.62532 0.52638 0.32765 1.00000 162
-0.86401 -1.10431 -0.97470 -1.21132 1.25526 -0.53807 1.76941 0.96909 1.00000 36
1.48395 1.05815 0.66413 1.01662 -0.05129 0.82098 -0.71664 -0.82693 1.00000 383
1.48395 1.04858 1.18440 0.81858 -1.46672 -1.08169 -0.71664 -0.82693 1.00000 60
-0.86401 -0.77898 -0.24633 -0.71386 -0.19646 -1.62532 1.76941 0.07108 1.00000 142
1.48395 1.80449 1.70466 0.69009 -2.01112 -1.62532 -0.71664 -1.08350 1.00000 9
-0.86401 -0.70244 0.14387 -0.44510 -0.99491 0.27736 0.52638 -0.24964 1.00000 277
-0.86401 -0.85553 -0.79261 -1.17595 -0.08758 1.63641 0.52638 1.61052 1.00000 129
0.30997 0.64671 -0.50646 0.04411 0.52940 1.63641 -0.71664 1.86709 1.00000 358
-0.86401 -0.78855 -0.42842 -0.43920 1.47302 1.63641 -0.71664 0.58423 1.00000 1
1.48395 1.04858 2.30296 2.06811 1.07380 -1.62532 -0.71664 -1.85322 1.00000 241
-0.86401 -0.57805 -0.24633 -0.54530 -0.26905 0.54917 1.76941 -0.30095 1.00000 166
-0.86401 -0.85553 -0.89666 -0.91662 -0.84974 0.82098 -0.71664 1.37960 1.00000 120
-0.86401 -0.98949 -0.94869 -1.12291 0.96492 1.63641 1.76941 1.73881 1.00000 3
1.48395 1.07729 2.48506 1.64846 -0.19646 -1.62532 -0.71664 -1.72493 1.00000 219
-0.86401 -0.71201 -0.42842 -0.96377 -0.37793 1.63641 1.76941 1.61052 1.00000 48
-0.86401 -0.69287 -0.63653 -0.62074 0.34793 -0.53807 -0.71664 0.32765 1.00000 334
-0.86401 -1.10431 -0.97470 -1.19599 -0.01500 -0.53807 0.52638 0.32765 1.00000 246
-0.86401 -0.92251 -0.55849 -0.89422 0.34793 -0.53807 0.52638 0.71251 1.00000 136
1.48395 1.48873 0.01380 0.88106 1.25526 1.36460 -0.71664 0.40463 1.00000 40
0.30997 -0.46323 0.40400 -0.05609 -0.63198 1.36460 1.76941 0.09674 1.00000 204
-0.86401 -1.04690 -1.36490 -1.11112 2.41664 0.00555 -0.71664 0.71251 1.00000 381
1.48395 1.58442 1.70466 1.97616 -0.92233 -0.80988 -0.71664 -1.34007 1.00000 82
-0.86401 -0.99906 -0.76659 -1.00503 -0.37793 -0.53807 -0.71664 0.58423 1.00000 71
-0.86401 -0.93208 -0.97470 -0.98145 0.89233 1.09279 1.76941 1.32829 1.00000 201
