Batting_average On-base_percentage Runs Hits Doubles Triples HomeRuns Runs_batted_in Walks Strike-Outs Stolen_bases Errors Free_agency_eligibility Free_agent Arbitration_eligibility Arbitration Y outlier number
-1.33776 -1.18935 -0.88682 -1.09677 -1.11854 0.26057 -0.87298 -1.11876 -0.76667 -0.61300 -0.10700 -0.63722 1.23082 -0.36176 -0.48885 -0.17487 -0.43090 1.00000 134
0.84014 0.36179 -0.95584 -1.07747 -1.11854 -0.92074 -0.76518 -1.11876 -1.00856 -0.93865 -0.53628 -0.80618 -0.81246 -0.36176 -0.48885 -0.17487 -0.91145 1.00000 29
-0.50205 -0.74313 -0.88682 -0.71081 -1.11854 -0.52697 -0.98079 -0.77995 -0.84730 -0.58339 -0.45042 0.71443 -0.81246 -0.36176 -0.48885 -0.17487 -0.85895 1.00000 301
-0.35011 -1.12560 -0.85231 -0.42135 0.03128 -0.92074 -0.44177 -0.27175 -0.96824 -0.34656 -0.70799 -0.46826 -0.81246 -0.36176 2.04563 -0.17487 -0.20072 1.00000 254
-0.78062 -0.36066 -0.61074 -1.01958 -0.73527 -0.52697 0.09725 -0.54279 -0.76667 -0.82023 -0.36457 0.20756 1.23082 2.76424 -0.48885 -0.17487 1.74973 1.00000 245
0.46027 0.46804 1.35634 1.25757 1.56436 -0.92074 1.71430 1.38840 0.92649 1.66655 -0.19286 -0.97513 1.23082 -0.36176 -0.48885 -0.17487 1.09151 1.00000 113
0.18170 -0.29691 0.18300 0.29267 0.60618 0.26057 -0.11836 -0.06846 -0.36354 0.45277 0.23642 0.37652 -0.81246 -0.36176 2.04563 -0.17487 0.55281 1.00000 38
-0.42608 -0.53065 -0.16211 0.35057 0.79782 -0.92074 0.95967 1.01571 -0.12166 0.86723 -0.62213 -0.13035 1.23082 2.76424 -0.48885 -0.17487 0.08195 1.00000 32
0.43495 0.78676 -1.02486 -0.94239 -0.92690 -0.92074 -0.54957 -0.81384 -0.64573 -0.40577 -0.70799 1.22130 -0.81246 -0.36176 -0.48885 -0.17487 -0.91387 1.00000 281
1.24533 0.70177 2.18458 2.12597 2.61835 1.04810 1.71430 2.43869 0.84587 1.01525 0.66570 0.03860 -0.81246 -0.36176 2.04563 5.71839 3.02985 1.00000 247
-0.98322 -1.18935 -0.43819 -0.20907 -0.35200 -0.13320 -0.01056 -0.37339 -0.48448 0.86723 -0.27871 0.37652 1.23082 -0.36176 -0.48885 -0.17487 0.90332 1.00000 101
1.52390 1.06299 0.87320 1.14178 1.56436 -0.52697 0.52846 0.50750 0.44273 0.12712 0.15057 0.37652 -0.81246 -0.36176 -0.48885 -0.17487 -0.66108 1.00000 147
-0.04622 0.61677 0.59712 0.44706 1.27691 -0.52697 0.85187 0.81243 1.32963 0.80802 -0.70799 -0.29931 -0.81246 -0.36176 -0.48885 -0.17487 -0.69581 1.00000 152
-1.38841 -1.78431 -0.26564 -0.55643 -0.63945 -0.52697 0.09725 -0.37339 -0.84730 1.16328 0.40813 -0.13035 -0.81246 -0.36176 -0.48885 -0.17487 -0.84684 1.00000 187
0.40962 -0.25441 0.11398 0.62074 1.37272 -0.52697 -0.33397 0.77855 -0.52479 0.39356 -0.53628 1.39025 -0.81246 -0.36176 2.04563 -0.17487 0.64730 1.00000 206
0.08041 -0.74313 1.35634 1.37335 1.08527 2.62318 -0.11836 0.67691 -0.44417 1.25209 1.00912 -0.63722 -0.81246 -0.36176 -0.48885 -0.17487 -0.78626 1.00000 83
-0.17284 -0.19067 -0.85231 -0.67222 -0.83108 -0.92074 -0.65738 -0.44115 -0.48448 -0.43537 -0.53628 -0.13035 -0.81246 -0.36176 -0.48885 -0.17487 -0.87106 1.00000 204
-1.10984 -0.72188 -0.30015 -0.40205 -0.44781 -0.52697 0.20505 -0.20399 0.03960 1.04486 -0.62213 -0.63722 1.23082 2.76424 -0.48885 -0.17487 -0.36225 1.00000 311
-0.14751 -0.48815 -1.09388 -1.11607 -1.11854 -0.52697 -0.44177 -0.74607 -1.00856 -0.99786 -0.62213 -1.14409 -0.81246 -0.36176 2.04563 -0.17487 -0.66512 1.00000 322
0.23235 -0.06318 -0.92133 -0.40205 -0.16036 -0.13320 -0.65738 -0.44115 -0.48448 -0.55379 -0.70799 -0.29931 -0.81246 -0.36176 -0.48885 -0.17487 -0.40263 1.00000 175
1.75182 1.59421 1.01124 1.66282 2.42672 -0.52697 1.39089 1.89660 1.45057 0.74881 0.83741 -0.46826 -0.81246 -0.36176 2.04563 -0.17487 0.64730 1.00000 61
-3.41436 -2.88923 -1.19741 -1.54062 -1.31017 -0.92074 -0.76518 -1.22040 -1.12950 -0.90905 -0.45042 -0.63722 -0.81246 -0.36176 -0.48885 -0.17487 -0.88722 1.00000 253
0.53625 -0.04193 -0.36917 0.17689 0.31873 -0.92074 -0.33397 -0.27175 -0.56511 -0.05051 -0.62213 0.71443 1.23082 2.76424 -0.48885 -0.17487 -0.03919 1.00000 221
1.19468 0.48928 -0.40368 -0.74941 -1.02272 -0.13320 -0.33397 -0.71219 -1.00856 -0.87944 0.66570 -0.80618 -0.81246 -0.36176 2.04563 -0.17487 -0.30168 1.00000 252
0.63754 0.53178 1.39085 1.58563 2.42672 -0.13320 -0.44177 0.54138 1.00712 -0.10972 -0.19286 1.22130 -0.81246 -0.36176 2.04563 5.71839 0.28386 1.00000 109
-0.27413 -0.38191 0.63163 0.40846 -0.25618 2.62318 -0.33397 0.27034 0.03960 0.09751 0.57984 -0.63722 1.23082 2.76424 -0.48885 -0.17487 -0.16034 1.00000 18
0.51092 0.65927 -0.78329 -0.63362 -0.54363 -0.13320 -0.76518 -0.81384 -0.40385 -0.96825 -0.62213 -0.46826 -0.81246 -0.36176 2.04563 -0.17487 -0.53428 1.00000 36
0.35898 0.29805 0.42457 0.75582 0.22291 -0.13320 -0.01056 0.60914 0.48304 -0.55379 1.52426 1.72817 -0.81246 -0.36176 2.04563 -0.17487 -0.07958 1.00000 212
1.11871 1.42422 1.90850 1.56633 2.61835 1.44187 0.95967 1.89660 2.21652 0.30474 -0.53628 1.39025 1.23082 2.76424 -0.48885 -0.17487 3.91825 1.00000 320
0.66287 1.04175 0.87320 0.73652 0.31873 -0.52697 1.17528 1.52392 1.28931 -0.25774 -0.36457 0.20756 1.23082 -0.36176 -0.48885 -0.17487 1.49533 1.00000 89
0.43495 1.04175 1.25281 0.38916 0.03128 -0.13320 0.09725 0.20258 1.16837 0.71921 -0.02115 0.88339 -0.81246 -0.36176 -0.48885 -0.17487 -0.88722 1.00000 241
