Longitude Latitude HousingMedianAge TotalRooms TotalBedrooms Population Households MedianIncome Y outlier number
-1.51750 1.22110 -0.84539 0.13625 -0.13507 -0.12935 -0.14789 0.63914 -0.15907 1.00000 109
0.53891 -0.75465 0.02865 0.03357 0.61984 -0.16555 0.76758 -0.37603 1.06717 1.00000 10546
-1.09824 1.42242 1.06160 0.01569 -0.04724 0.10819 0.09013 -0.83761 -0.84889 1.00000 884
0.68865 -0.74529 0.90268 -0.70627 -0.55289 -0.09138 -0.57161 -1.00110 -0.49272 1.00000 3961
-1.42766 0.94955 0.02865 0.41495 0.58898 0.73605 0.70742 0.22804 0.62001 1.00000 13905
-0.86364 1.43646 -0.84539 2.15361 1.88516 1.68974 2.01784 -0.33460 -0.71197 1.00000 19622
0.76851 -0.73592 -0.13027 -0.05765 0.58186 1.81514 0.59233 -0.72807 -0.42512 1.00000 13223
-1.25796 2.66311 1.85618 0.63406 0.67919 0.26714 0.54002 -0.85509 -1.24753 1.00000 10107
1.24269 -1.17602 0.66431 -0.72231 -0.64073 -0.53202 -0.70763 -1.07085 -0.53171 1.00000 11987
0.71361 -0.72188 0.74377 -0.40831 -0.19205 0.10731 -0.10342 -0.53726 0.10524 1.00000 4042
-0.72389 0.61245 0.34648 -0.50183 -0.53390 -0.48168 -0.59515 -0.71760 -0.77263 1.00000 5193
0.69864 -0.72656 0.34648 -0.81811 -0.72856 -0.43223 -0.71024 -0.26091 -0.51438 1.00000 13524
-1.29789 0.99168 0.98214 -0.63201 -0.63360 -0.52760 -0.70501 -0.71923 -0.99275 1.00000 9207
0.68865 -0.74061 0.50539 -0.61413 -0.54814 -0.00219 -0.58469 -0.59348 -0.62097 1.00000 15527
-1.27293 2.00297 -1.00431 0.62810 0.61510 0.53206 0.66034 -0.77787 -1.12360 1.00000 18985
-1.44264 0.95423 -1.00431 0.33748 1.33678 0.55060 1.36394 0.13666 -0.52305 1.00000 6160
-1.31785 1.15555 0.58485 0.17521 0.04535 0.01724 0.14768 -0.03567 -0.66690 1.00000 1512
-1.19806 1.09469 -0.13027 -0.43307 -0.59087 -0.54615 -0.53238 1.18231 0.03158 1.00000 5710
0.64872 -0.69379 -1.16323 -0.40877 -0.00451 0.06051 0.08229 -0.34403 0.20750 1.00000 11126
-0.67897 0.94955 -1.48106 2.25996 1.92315 1.59084 1.82951 0.45970 -0.50918 1.00000 11809
0.54890 -0.64229 0.42594 -0.61230 -0.59087 -0.68479 -0.54546 0.00886 -0.06635 1.00000 9610
0.76352 -0.69379 0.42594 -0.51008 -0.53865 -0.66183 -0.53500 -0.26770 1.47621 1.00000 12135
1.16283 -1.21347 -1.24268 0.39524 0.29699 -0.01190 0.30985 -0.34671 -0.51351 1.00000 2913
-1.37775 1.08064 1.29997 -0.64622 -0.61461 -0.73777 -0.62654 -0.51973 -0.57591 1.00000 16336
1.02307 -0.81552 -2.11672 7.03268 6.36007 5.19193 5.13564 0.68367 0.12084 1.00000 10856
0.69364 -0.81083 0.18756 -0.04573 0.15455 1.05924 0.19999 -0.41045 -0.48492 1.00000 17487
-1.34281 1.00105 1.85618 -0.65355 -0.87812 -0.89584 -0.85671 -0.27033 1.72059 1.00000 15678
-0.94350 1.33814 -1.08377 3.47239 3.45910 3.73578 3.27594 -0.68201 -0.85756 1.00000 19395
-1.39771 0.91209 1.85618 -0.20525 -0.41995 -0.44901 -0.37283 0.27863 2.54040 1.00000 13978
-1.03335 1.63310 -1.24268 1.72914 1.30354 1.65001 1.58626 0.20788 -0.83329 1.00000 384
0.68865 -0.74061 1.45889 -0.62467 -0.65022 -0.20529 -0.62654 -0.75439 -0.72757 1.00000 12027
