lread lwrite scall sread swrite fork exec rchar wchar pgout ppgout pgfree pgscan atch pgin ppgin pflt vflt runqsz freemem freeswap Y outlier number
-0.17919 -0.40503 0.66891 0.05790 0.02456 0.12723 0.42555 0.65647 -0.14582 -0.31758 -0.34030 -0.34979 -0.30261 -0.12745 2.39309 1.77341 0.23316 1.18595 -0.14817 -0.52799 -0.79838 -0.48742 1.00000 5395
1.69521 3.81044 1.75675 0.30920 0.13674 -0.67944 -0.49730 0.17209 0.89605 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.04887 0.10823 -0.81979 -0.64776 -0.12591 -0.10413 -0.00499 0.16473 1.00000 7972
-0.02923 -0.10392 -0.40178 -0.55024 -0.40543 -0.19544 -0.19032 -0.48621 -0.36111 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 0.18178 -0.04437 -0.05239 -0.17339 -0.12909 0.07838 0.48631 0.43646 1.00000 3487
-0.36663 -0.43848 -1.31392 -1.01765 -0.76063 -0.67944 -0.49730 -0.81849 -0.47639 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.59665 -0.55604 -0.82328 -0.88233 -0.14817 2.33991 1.30122 0.76253 1.00000 712
-0.23542 -0.43848 0.55689 1.80692 -0.48644 1.98256 3.53176 5.48484 -0.30739 1.22763 1.26352 1.09637 0.86696 -0.12745 1.11878 0.88920 1.20272 1.67174 -0.13386 -0.62953 -0.51995 -0.54176 1.00000 2816
-0.02923 -0.07047 -0.54013 0.15842 0.57296 0.04656 -0.15195 0.17470 2.53865 10.57428 7.16611 3.36450 -0.10300 -0.02234 0.35476 0.29674 0.12766 0.41931 2.00716 -0.67868 -3.14722 -4.56333 1.00000 7939
-0.19793 -0.40503 3.96364 7.45607 8.35015 1.73653 0.11473 4.66177 7.47943 -0.12914 -0.28772 -0.31889 -0.30261 -0.09242 0.06502 -0.04527 1.64149 1.76264 -0.14340 -0.56264 -0.56998 -1.35695 1.00000 1195
-0.27291 -0.43848 1.01908 0.58060 0.36731 -0.03410 -0.38218 0.91808 -0.12611 -0.24221 0.11981 0.29913 0.15566 0.08278 0.39801 0.06335 -0.13979 0.30098 -0.10523 -0.58521 -0.02840 0.21907 1.00000 6828
-0.36663 -0.43848 -1.11558 -0.87190 -0.75440 -0.67944 -0.49730 -0.79000 -0.60900 -0.09145 -0.27457 -0.31271 -0.30261 -0.19753 -0.59665 -0.55604 -0.82302 -0.88218 -0.14817 -0.63799 0.99206 0.76253 1.00000 5443
-0.34788 -0.40503 -1.27842 -0.91211 -0.76687 -0.67944 -0.49730 -0.74856 -0.58013 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.59665 -0.55604 -0.82328 -0.88233 -0.14817 2.81373 1.20133 0.70818 1.00000 3621
1.28284 3.60971 0.52934 -0.19842 -0.24340 -0.51810 -0.42056 -0.37472 -0.12758 0.05930 -0.11682 -0.23855 -0.30261 -0.16249 -0.51016 -0.50218 -0.57681 -0.39958 -0.10682 -0.58964 -0.04424 0.43646 1.00000 5168
-0.34788 -0.43848 -0.64726 -0.58542 -0.73571 -0.59877 -0.49730 0.66878 -0.58397 -0.16683 -0.28772 -0.31889 -0.30261 0.11782 -0.49574 -0.48423 -0.63275 -0.72630 -0.14022 -0.60656 0.97861 0.32776 1.00000 3892
-0.34788 -0.43848 -1.23006 -0.90205 -0.61107 -0.59877 -0.45893 -0.44357 -0.52301 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.59665 -0.55604 -0.61876 -0.79437 -0.14658 2.27262 1.28153 0.70818 1.00000 3550
