Cement BlastFurnaceSlag FlyAsh Water Superplasticizer CoarseAggregate FineAggregate Age Y outlier number
1.15486 0.24124 -0.84714 -1.60080 0.87010 -0.33608 0.97982 -0.61233 1.09489 1.00000 400
1.04094 1.33474 -0.84714 -1.67108 2.64537 -0.36310 -0.22188 -0.27973 2.31662 1.00000 748
-0.64494 0.28067 -0.46413 0.00622 0.08296 1.19770 0.14874 -0.50147 -1.07668 1.00000 822
2.24815 -0.85689 -0.84714 -0.91676 0.35092 -2.21214 0.35464 -0.27973 0.33250 1.00000 316
1.37697 0.37576 -0.84714 -1.31501 1.72424 -1.55462 1.41657 -0.67568 -0.14481 1.00000 163
-0.90917 0.58216 -0.84714 0.19363 -1.03914 1.42160 -0.11581 -0.27973 -1.09105 1.00000 664
-1.12170 -0.85689 2.27952 -0.02658 1.13807 -1.59451 0.90370 -0.27973 -1.24137 1.00000 63
1.48228 -0.85689 -0.84714 1.70694 -1.03914 -1.73090 -0.67235 -0.27973 -0.71675 1.00000 787
1.85564 -0.85689 -0.84714 2.17546 -1.03914 -0.52652 -2.24092 0.70222 0.38401 1.00000 729
0.64939 -0.85689 -0.84714 0.48879 -1.03914 0.95323 0.40455 -0.61233 -1.05931 1.00000 628
-0.28498 -0.85689 1.00228 0.32481 -0.06777 0.71389 -0.19817 -0.67568 -1.11381 1.00000 60
2.30559 -0.85689 -0.84714 -1.66639 -1.03914 -0.98974 1.52763 -0.27973 2.34596 1.00000 678
1.07062 -0.85689 -0.84714 0.48879 -1.03914 -0.41586 0.14999 0.70222 0.78047 1.00000 94
0.05871 0.54042 0.62083 0.28264 0.50165 -0.88166 -0.96935 -0.27973 0.47803 1.00000 541
0.70683 -0.63657 0.66929 -1.71325 1.02083 -0.07616 1.21566 -0.27973 1.17574 1.00000 81
-0.64781 -0.85689 1.87618 -1.26347 0.92035 1.02142 0.02395 0.16373 0.93499 1.00000 356
-1.17148 1.90525 -0.84714 0.19363 -1.03914 0.87087 -0.49017 -0.61233 -1.56896 1.00000 518
1.57801 -0.57859 0.38789 -0.91676 0.90360 -0.07616 -0.76844 -0.67568 -0.02743 1.00000 533
-0.86992 -0.85689 1.11015 -0.70125 0.61889 1.36498 0.31595 -0.27973 -0.65686 1.00000 961
0.15348 -0.85689 0.98977 -0.31706 0.55190 0.64184 -0.25058 0.86060 1.25299 1.00000 673
0.96531 -0.85689 -0.84714 0.20768 -1.03914 1.77673 0.13002 -0.61233 -1.45817 1.00000 684
0.94616 0.24472 -0.84714 2.17546 -1.03914 -0.52652 -2.24092 5.05768 0.47205 1.00000 528
0.49143 0.79553 -0.84714 2.17546 -1.03914 -0.52652 -2.24092 3.55307 0.26663 1.00000 586
-1.02788 0.22617 1.65262 -0.43419 0.58539 0.44111 -0.33668 -0.27973 0.11930 1.00000 29
2.39463 -0.85689 -0.84714 -1.86317 3.68373 -1.55462 1.49893 -0.61233 0.66369 1.00000 588
2.09593 -0.85689 -0.84714 0.86361 -0.53671 1.94916 -2.00133 -0.27973 0.49780 1.00000 738
-0.03894 -0.85689 0.67554 -0.98236 0.93710 0.01262 1.27306 0.16373 0.91163 1.00000 913
1.36740 -0.60178 1.21645 -0.63565 0.45141 -1.94192 -0.29425 0.16373 2.30823 1.00000 357
-1.04128 -0.69918 1.84804 -1.16039 -0.35248 0.42953 1.03347 -0.50147 -0.36340 1.00000 50
-0.94938 -0.33275 1.06012 -0.53258 0.33418 1.11278 0.08884 -0.27973 -0.27237 1.00000 946
-1.58123 1.14920 -0.84714 0.48879 -1.03914 -0.81217 1.47646 -0.27973 -0.80658 1.00000 915
-0.43241 -0.85689 -0.84714 0.58250 -1.03914 -0.06329 1.39036 -0.50147 -1.37612 1.00000 282
1.79820 0.50215 -0.84714 -2.05058 4.35364 -1.55462 0.83506 0.16373 2.00520 1.00000 399
-0.65643 -0.85689 0.72244 -1.03858 0.70263 0.39736 1.62496 0.16373 0.51397 1.00000 262
-0.47262 -0.85689 1.05387 -0.35454 0.08296 1.07418 0.06139 -0.50147 -0.54187 1.00000 769
-1.07479 -0.36754 1.09608 -1.09012 0.76962 1.38814 0.28226 0.16373 0.19955 1.00000 426
-1.03554 0.48824 -0.84714 0.48879 -1.03914 -0.33608 1.03846 -0.67568 -1.72946 1.00000 813
-0.05905 1.23037 1.02885 -0.91676 0.70263 -1.83899 -0.10707 -0.27973 2.42082 1.00000 840
-0.03799 0.27719 -0.46413 -0.97767 0.83661 1.14237 0.11130 0.86060 1.86446 1.00000 683
-0.26009 -0.85689 -0.84714 0.76990 -1.03914 -0.06329 1.11583 5.05768 -0.36101 1.00000 893
-0.82780 -0.85689 0.72400 -0.53258 0.21694 0.32273 1.60000 -0.50147 -0.69099 1.00000 330
0.49621 -0.85689 -0.84714 0.48879 -1.03914 -0.53681 0.86127 -0.67568 -1.20963 1.00000 427
-1.71525 0.91728 -0.84714 0.48879 -1.03914 -1.10555 2.10164 -0.67568 -1.87140 1.00000 1015
-1.11213 0.63318 1.21802 -0.30300 0.31743 0.42309 -0.33668 -0.67568 -0.98205 1.00000 714
-0.66122 -0.85689 1.05387 -0.05937 -0.08452 1.08962 0.07137 0.16373 -0.09690 1.00000 554
-0.26009 -0.85689 -0.84714 0.76990 -1.03914 -0.06329 1.11583 0.70222 -0.53169 1.00000 447
-1.39933 0.36068 2.17009 0.67620 -0.03428 -0.10190 -1.62946 -0.27973 -0.83293 1.00000 556
-0.41231 -0.85689 -0.84714 0.19363 -1.03914 1.87710 0.19616 -0.27973 -1.09225 1.00000 661
0.06541 0.54621 -0.84714 -0.21399 0.13320 -0.83533 0.69156 -0.27973 0.37802 1.00000 21
0.08838 -0.85689 0.65678 -0.63097 0.53515 -0.15079 1.14079 0.86060 0.78766 1.00000 879
0.99403 -0.85689 1.27899 -1.10417 2.31041 -0.89967 -0.06964 -0.27973 1.18173 1.00000 711
-1.15808 1.32314 1.44157 1.01353 0.85336 -1.85571 -0.79714 -0.27973 -0.03042 1.00000 890
-0.29647 1.07731 -0.84714 1.02759 -1.03914 0.06023 -0.99181 -0.61233 -0.98625 1.00000 830
-0.43241 0.96367 -0.84714 0.48879 -1.03914 -0.00410 -0.30548 0.70222 0.71639 1.00000 901
2.09498 -0.85689 -0.84714 0.86361 -1.03914 1.95688 -2.00382 -0.70736 -1.38810 1.00000 162
-1.15999 0.62739 1.06012 0.02027 0.03272 -1.91619 1.31549 -0.27973 0.21452 1.00000 794
1.85564 0.52070 -0.84714 -0.02189 0.45141 -1.55462 0.09882 -0.67568 0.11870 1.00000 757
-0.27924 -0.85689 -0.84714 0.16083 -1.03914 1.77673 0.13002 -0.27973 -0.96588 1.00000 454
0.64939 -0.85689 -0.84714 0.48879 -1.03914 0.95323 0.41578 -0.67568 -1.24377 1.00000 780
-1.26051 1.87974 -0.84714 -0.27021 1.07108 -1.62281 1.48645 -0.27973 -0.17116 1.00000 735
-1.35529 1.57129 -0.84714 0.48879 -1.03914 0.95323 0.41578 -0.27973 -0.45383 1.00000 737
0.35165 -0.85689 1.13047 1.31807 -0.08452 -1.44653 -0.46147 -0.27973 0.25405 1.00000 742
-0.28498 -0.85689 1.00228 0.53096 -0.06777 0.90948 -0.24059 -0.67568 -1.42763 1.00000 807
0.49621 -0.65396 1.70109 -0.68250 1.95871 0.29699 -1.51716 -0.27973 0.68645 1.00000 280
1.62588 -0.85689 -0.84714 -0.77621 0.85336 0.73448 -0.35665 -0.27973 2.57414 1.00000 861
2.33431 -0.85689 -0.84714 0.34824 -1.03914 1.95688 -2.00382 -0.27973 1.20508 1.00000 802
0.39569 0.86626 -0.84714 0.19831 0.38442 -0.28204 -0.79964 -0.27973 0.99487 1.00000 685
0.74512 -0.63657 1.35715 -1.29158 0.78637 -0.39784 0.34216 -0.27973 1.41769 1.00000 573
2.33431 -0.85689 -0.84714 0.34824 -1.03914 1.95688 -2.00382 2.12764 1.56322 1.00000 707
-1.27392 -0.85689 1.99968 -0.00784 1.47302 -1.72447 1.38163 -0.27973 -1.21502 1.00000 880
-0.43241 0.96367 -0.84714 0.48879 -1.03914 -0.00410 -0.30548 -0.61233 -0.92216 1.00000 69
0.65896 -0.85689 -0.84714 0.20768 -1.03914 0.99183 -0.04468 -0.27973 -0.09151 1.00000 344
1.01318 -0.62497 0.62239 -1.15102 0.90360 -0.44931 0.89122 -0.61233 0.35047 1.00000 258
-0.65739 -0.85689 0.72244 -1.04326 0.41791 0.44883 1.62246 -0.27973 -0.25021 1.00000 542
1.37697 0.37576 -0.84714 -1.31501 1.72424 -1.55462 1.41657 0.71806 1.75965 1.00000 902
-1.71525 0.91728 -0.84714 0.48879 -1.03914 -1.10555 2.10164 -0.61233 -1.68515 1.00000 505
0.38420 1.04716 -0.84714 0.41851 -0.26874 -1.32429 0.00523 -0.27973 1.28174 1.00000 142
-1.26530 1.87974 -0.84714 -0.26084 1.13807 -1.62024 1.49019 -0.27973 -0.17116 1.00000 752
1.95138 -0.85689 -0.84714 -1.66639 -1.03914 1.89254 0.32968 -0.27973 2.16630 1.00000 358
2.39463 -0.85689 -0.84714 -1.86317 3.68373 -1.55462 1.49893 0.16373 1.37637 1.00000 726
-0.65739 -0.85689 0.72244 -1.04326 0.41791 0.44883 1.62246 -0.50147 -0.56942 1.00000 67
0.39090 -0.85689 -0.84714 1.00416 -1.03914 0.01391 0.32968 -0.50147 -0.90120 1.00000 204
0.95957 -0.85689 -0.84714 0.19363 -1.03914 1.69438 0.13376 -0.61233 -1.27431 1.00000 422
-0.47262 -0.85689 1.05387 -0.35454 0.08296 1.07418 0.06139 0.86060 0.60021 1.00000 599
1.85564 -0.85689 -0.84714 2.17546 -1.03914 -0.52652 -2.24092 -0.27973 0.20794 1.00000 609
-0.90917 0.58216 -0.84714 0.19363 -1.03914 1.42160 -0.11581 -0.61233 -1.66598 1.00000 897
-0.03799 0.27719 -0.46413 -0.97767 0.83661 1.14237 0.11130 0.16373 1.85667 1.00000 264
1.01318 -0.62497 0.62239 -1.15102 1.35579 -0.44931 0.89122 -0.61233 0.06121 1.00000 20
-0.66217 -0.85689 1.10389 -1.05732 0.26718 1.44733 0.32344 -0.67568 -0.97606 1.00000 84
-0.86992 -0.85689 1.11015 -0.92145 0.61889 1.48207 0.36212 -0.50147 -0.78442 1.00000 229
0.08647 1.38692 -0.84714 0.19363 -1.03914 0.32530 -0.86453 -0.61233 -0.83592 1.00000 113
0.07498 0.69696 -0.84714 0.62935 -0.03428 -0.62946 -0.16947 -0.27973 0.62416 1.00000 624
-1.18871 1.87974 -0.84714 0.48879 -1.03914 -0.48277 0.09508 0.70222 0.45288 1.00000 719
-0.08011 1.25240 -0.84714 0.19363 -1.03914 0.50802 -0.73974 -0.61233 -0.96109 1.00000 203
-1.35529 1.57129 -0.84714 0.48879 -1.03914 0.95323 0.41578 4.97849 0.53193 1.00000 1001
-1.11213 -0.85689 1.39780 -0.83243 -1.03914 0.42052 1.58877 -0.27973 -0.57601 1.00000 776
0.30474 -0.85689 0.91942 -0.16713 0.30068 0.37420 -1.05545 -0.27973 0.05881 1.00000 167
1.79820 0.50215 -0.84714 -2.05058 4.35364 -1.55462 0.83506 -0.67568 0.26243 1.00000 155
-1.18871 1.87974 -0.84714 0.48879 -1.03914 -0.48277 0.09508 -0.61233 -1.13357 1.00000 783
-0.03799 0.27719 -0.46413 -0.97767 0.83661 1.14237 0.11130 -0.50147 0.71220 1.00000 1005
2.33431 -0.85689 -0.84714 0.34824 -1.03914 1.95688 -2.00382 0.70222 1.37517 1.00000 478
-1.31317 1.11441 1.23209 0.48879 0.30068 -2.04486 0.39207 -0.27973 -0.35622 1.00000 173
-0.00161 -0.85689 -0.84714 0.20768 -1.03914 1.68666 0.00523 -0.61233 -1.27671 1.00000 821
2.09498 -0.85689 -0.84714 0.86361 -1.03914 1.95688 -2.00382 -0.50147 0.06720 1.00000 486
0.47707 -0.85689 -0.84714 0.48879 -1.03914 0.67014 0.59173 -0.67568 -1.28808 1.00000 425
-1.22701 0.32589 -0.84714 0.48879 -1.03914 -1.09268 2.11537 -0.67568 -1.85882 1.00000 360
1.37697 0.37576 -0.84714 -1.31501 1.72424 -1.55462 1.41657 -0.61233 0.80143 1.00000 290
-0.24764 0.28879 0.35662 0.32950 0.04946 -0.69379 -0.30299 -0.27973 -0.12085 1.00000 289
0.30187 0.82104 -0.84714 -2.54253 0.30068 0.34460 0.60670 -0.27973 0.52115 1.00000 615
0.19944 -0.85689 -0.84714 1.00416 -1.03914 0.01391 0.54182 2.12764 -0.54367 1.00000 731
0.55557 -0.85689 -0.84714 0.19363 -1.03914 1.23888 -0.24059 -0.27973 -0.23464 1.00000 423
-0.03990 -0.85689 -0.84714 0.44194 -1.03914 -0.06329 1.02848 -0.50147 -0.87186 1.00000 10
-0.66122 -0.85689 1.05387 -0.05937 -0.08452 1.08962 0.07137 0.86060 0.22710 1.00000 709
0.24730 -0.85689 -0.84714 0.53564 -1.03914 -0.06329 0.47942 0.70222 -0.17356 1.00000 746
-1.04128 -0.69918 1.84804 -1.16039 -0.35248 0.42953 1.03347 -0.67568 -0.87006 1.00000 538
-0.79046 0.67841 -0.84714 0.48879 -1.03914 0.07053 0.64788 4.97849 0.50798 1.00000 386
-0.18446 0.42446 0.49889 0.64809 -0.20175 -1.00003 -0.51138 -0.27973 -0.12564 1.00000 252
0.74512 -0.63657 1.35715 -1.29158 0.78637 -0.39784 0.34216 -0.67568 -0.72932 1.00000 935
0.17837 -0.85689 1.02573 1.40240 0.61889 -1.21878 -0.57377 -0.27973 -0.71734 1.00000 623
