Hydroelectric Nuclear Coal Fuel Gas Special Y outlier number
-0.30808 -2.03982 0.40541 2.70047 1.29138 -0.31011 1.42219 1.00000 133
-0.22344 -0.59974 0.38428 2.31862 0.74558 -0.34990 0.73258 1.00000 138
0.48328 1.49672 -1.60691 -0.78191 -1.24749 1.24168 -0.43985 1.00000 288
1.70523 0.30434 0.88240 2.03391 -1.23721 -1.77973 0.72629 1.00000 12
0.62960 0.07575 -0.09255 -0.98898 -1.42009 -0.21192 -0.64302 1.00000 92
-0.01504 -1.40065 -1.42018 -1.12867 -1.36977 0.10277 -0.96786 1.00000 89
1.25224 0.66320 0.35786 -0.13920 0.72616 1.22514 -0.15353 1.00000 270
1.35867 0.54930 -0.78207 -0.57835 -1.09046 -0.76432 -0.82612 1.00000 31
0.37965 -0.58962 0.38175 -0.76066 -0.49949 -0.33749 -0.41294 1.00000 77
1.18694 1.00238 0.21224 0.25442 -0.78588 -3.31032 -0.82294 1.00000 16
-1.08695 -0.74062 1.12048 0.29682 1.76572 0.09761 1.07576 1.00000 338
0.25237 -0.23430 -0.33505 -0.80242 -1.45524 -0.12408 -0.96218 1.00000 93
-1.56870 -0.09465 -0.06833 -0.71548 -0.30823 1.12231 -0.82386 1.00000 235
-0.04670 0.47109 0.42348 1.90384 0.87276 -0.22278 0.94863 1.00000 143
0.92577 1.34572 -1.30379 -1.04565 -1.66549 -2.20346 -1.70158 1.00000 297
1.45511 1.43106 -0.47672 0.04414 -0.12499 0.93680 -0.76392 1.00000 279
-1.31560 0.63284 -0.14282 -0.85712 -0.76968 -0.82065 -1.12696 1.00000 151
-0.34190 -0.62756 0.75977 1.70363 0.63071 -0.33233 1.32712 1.00000 135
-1.47403 -1.78728 0.81536 -0.76413 -0.66535 0.64380 -0.17174 1.00000 210
-0.38957 0.71605 -0.17872 -0.78669 -1.01694 -1.14620 -1.21571 1.00000 44
1.19216 0.28647 -0.60029 -0.21346 -0.15001 1.12179 -1.11472 1.00000 269
-0.77085 -2.10431 0.06963 2.29007 1.55131 -0.25843 1.42259 1.00000 131
-1.03157 1.41076 -0.55368 -0.90343 -0.79118 1.17708 -0.61223 1.00000 252
0.88610 0.34038 0.47563 1.03868 0.37069 -1.01340 0.95914 1.00000 39
1.21540 1.06028 0.02151 -0.20371 -0.80545 -2.09856 -1.10023 1.00000 15
0.77276 -0.03123 -0.92307 -0.84500 -1.03192 -0.21968 -0.91219 1.00000 316
-0.77102 0.49965 0.82092 1.90266 1.28193 -0.32096 1.41492 1.00000 154
1.04014 0.89382 -0.11045 -0.12840 -0.04039 -1.11726 -0.25089 1.00000 47
1.72773 0.43242 -0.69302 -0.33475 -0.67942 -1.55029 -1.17726 1.00000 305
0.53117 -0.78414 -0.22852 -0.81838 -0.33950 -1.21803 1.21988 1.00000 309
0.23991 -0.86408 0.51024 -0.78800 0.13833 -0.38400 0.29427 1.00000 67
1.22950 0.88325 0.40709 -0.42600 -0.04593 -0.99324 -0.51700 1.00000 36
0.80034 1.25728 -1.72133 -0.63600 -1.36791 0.34564 -0.99549 1.00000 362
-1.07783 -0.63285 -0.36024 -0.58521 -0.53962 1.55276 -0.48920 1.00000 240
1.27436 0.82180 0.36898 0.01595 -0.00288 1.98114 -1.31863 1.00000 281
-1.23845 -0.16065 0.53873 -0.85572 -0.42614 -0.42121 0.00804 1.00000 145
0.95951 -0.41595 -2.40058 -1.12867 -1.17780 -0.53799 -0.88233 1.00000 99
-0.80232 -2.00676 0.41857 0.22402 1.33688 -0.46461 1.14001 1.00000 324
-0.87723 -1.21141 1.36498 -0.13494 1.09360 1.24323 1.10449 1.00000 226
1.17374 -0.60137 -0.77628 -0.97624 -0.90184 0.27537 -0.73985 1.00000 104
1.31660 -0.55150 -0.47033 -0.42410 -1.09886 -0.80825 -0.70936 1.00000 25
