RollRate PitchRate currPitch currRoll diffRollRate Y outlier number
0.24814 0.79004 0.78580 0.46442 -0.10765 -0.30687 1.00000 1
-0.44872 -0.38576 2.08143 -0.85970 0.31381 1.01401 1.00000 2
0.88018 -0.86677 0.60071 -0.48138 0.87574 -0.63710 1.00000 3
0.66950 -0.49265 0.04544 0.77969 -0.34179 -0.63710 1.00000 4
-1.30763 0.09525 -0.13966 -0.10306 -0.38862 0.68379 1.00000 5
-1.25902 0.14869 -0.13966 -0.98581 0.36063 0.35357 1.00000 6
0.79915 0.89693 1.15598 -1.55329 0.73526 -0.30687 1.00000 7
0.91259 0.41592 1.52616 -0.67054 0.03284 -0.30687 1.00000 8
-0.69181 -0.11853 0.78580 -1.04886 0.12649 0.35357 1.00000 9
0.58847 0.09525 0.41562 -0.85970 0.31381 0.35357 1.00000 10
0.86397 0.09525 0.60071 -0.04000 0.26698 -0.30687 1.00000 11
0.83156 0.14869 0.60071 0.46442 -0.10765 -0.30687 1.00000 12
-1.16178 -0.49265 0.23053 0.08610 -0.43544 0.68379 1.00000 13
0.60467 0.89693 -0.50984 -0.60749 0.50112 -0.63710 1.00000 14
-0.61078 -0.33232 0.41562 -0.98581 0.07967 0.35357 1.00000 15
0.63709 0.25558 -0.32475 -0.22917 0.12649 -0.30687 1.00000 16
0.63709 -0.33232 -0.50984 0.46442 0.45429 -0.63710 1.00000 17
-0.83766 -0.75988 0.97089 0.33832 -0.29496 0.68379 1.00000 18
0.68570 -0.65299 -1.43529 0.14916 0.73526 -0.30687 1.00000 19
0.88018 0.36248 -1.06511 0.65358 0.26698 -0.63710 1.00000 20
-0.95110 -0.17198 1.15598 0.77969 -0.43544 0.35357 1.00000 21
-1.06454 -0.11853 1.15598 0.14916 -0.01399 0.35357 1.00000 22
0.62088 -0.75988 -0.69493 -0.54443 0.68843 -0.63710 1.00000 23
-0.90248 0.20214 0.04544 -1.04886 -0.06082 0.68379 1.00000 24
1.00982 -0.43921 -0.13966 -0.16611 0.26698 -0.63710 1.00000 25
0.70191 0.09525 0.04544 0.52748 -0.71641 0.35357 1.00000 26
-0.69181 -0.11853 0.04544 0.77969 -0.85690 0.35357 1.00000 27
-1.16178 -0.49265 -0.32475 0.21221 -0.57593 0.68379 1.00000 28
0.78294 -0.17198 -1.06511 -0.29222 0.26698 -0.30687 1.00000 29
0.42641 0.46937 -0.50984 0.46442 -0.43544 -0.63710 1.00000 30
-1.12937 0.62970 0.60071 0.14916 -0.71641 0.35357 1.00000 31
-1.17799 -0.97366 0.04544 -0.79665 0.54795 0.68379 1.00000 32
1.00982 0.52281 -1.43529 -0.41833 0.45429 -0.30687 1.00000 33
0.63709 0.68315 -0.69493 0.52748 -0.52910 -0.63710 1.00000 34
-1.50211 0.30903 0.60071 -0.73359 -0.38862 1.01401 1.00000 35
-0.83766 -0.59954 0.23053 -1.93161 1.20354 0.35357 1.00000 36
0.84776 -0.59954 -0.69493 -1.80550 1.10988 -0.30687 1.00000 37
1.35015 -0.49265 -1.25020 -0.41833 0.22015 -0.30687 1.00000 38
1.02603 0.14869 -0.88002 0.65358 -0.57593 -0.30687 1.00000 39
-1.27522 0.20214 0.04544 0.21221 -0.38862 0.35357 1.00000 40
0.73432 -0.01164 0.23053 -1.55329 0.82892 -0.30687 1.00000 41
-0.80525 -0.27887 0.04544 -0.85970 -0.15448 0.35357 1.00000 42
-1.01593 0.30903 -0.32475 -1.04886 -0.15448 0.68379 1.00000 43
1.22050 0.04180 -0.13966 -0.48138 0.45429 -0.30687 1.00000 44
0.79915 0.20214 0.23053 0.77969 -0.57593 -0.30687 1.00000 45
-0.65939 0.25558 0.78580 1.03191 -0.71641 0.35357 1.00000 46
-1.06454 0.20214 1.15598 -0.04000 -0.06082 0.35357 1.00000 47
-0.64319 -0.81332 1.15598 -0.92275 0.64160 0.35357 1.00000 48
0.97741 -0.59954 0.23053 -0.35527 0.73526 -0.63710 1.00000 49
0.29676 0.09525 0.23053 1.53633 -0.62276 -0.63710 1.00000 50
-0.91869 -0.06509 0.41562 1.28412 -1.27835 0.68379 1.00000 51
-0.69181 -0.97366 -0.69493 -0.79665 0.64160 0.35357 1.00000 52
0.65329 0.46937 -1.99056 -0.54443 0.59477 -0.63710 1.00000 53
-0.72422 0.25558 -0.32475 -0.79665 0.03284 0.35357 1.00000 54
0.75053 0.04180 -0.50984 -0.60749 0.59477 -0.30687 1.00000 55
0.28055 0.20214 -0.13966 0.46442 -0.38862 -0.30687 1.00000 56
-0.62698 0.30903 0.41562 0.33832 -0.52910 0.68379 1.00000 57
0.55606 -0.43921 -0.50984 0.46442 0.12649 -0.30687 1.00000 58
-1.03213 -0.11853 0.04544 0.21221 -0.66959 0.35357 1.00000 59
-0.93490 -0.33232 -0.13966 -0.79665 0.40746 0.35357 1.00000 60
0.88018 0.57626 -1.43529 0.02305 0.12649 -0.63710 1.00000 61
-1.34005 0.52281 -0.13966 -0.04000 -0.95055 1.01401 1.00000 62
0.97741 -0.43921 -1.25020 -1.04886 0.92257 -0.30687 1.00000 63
1.28533 0.68315 -1.25020 -0.04000 0.26698 -0.96732 1.00000 64
0.60467 0.95038 -0.32475 0.90580 -1.23152 0.35357 1.00000 65
-0.82145 0.84348 1.34107 0.77969 -0.66959 0.35357 1.00000 66
-0.43251 0.52281 -1.80547 -0.79665 -0.01399 0.35357 1.00000 67
0.57226 0.14869 -1.25020 -0.60749 0.59477 -0.63710 1.00000 68
-0.57836 0.09525 0.97089 -0.79665 0.07967 0.35357 1.00000 69
0.70191 -1.02711 -0.13966 -0.60749 0.92257 -0.96732 1.00000 70
-1.03213 -0.11853 -0.32475 -1.04886 -0.06082 0.68379 1.00000 71
0.65329 -0.38576 -1.06511 -1.67940 1.10988 -0.30687 1.00000 72
1.17188 -0.27887 -1.43529 -0.60749 0.26698 -0.30687 1.00000 73
0.83156 0.41592 -1.06511 0.52748 -0.48227 -0.63710 1.00000 74
