climbRate Altitude RollRate curRoll diffClb diffDiffClb Y outlier number
0.81230 0.09038 0.87917 -0.35387 0.56765 0.03233 0.47740 1.00000 4196
-0.57211 0.48262 0.82250 -0.60520 0.56765 0.03233 0.47740 1.00000 9025
-1.18289 -0.69409 0.08586 1.09129 -0.56326 0.03233 -0.36499 1.00000 6696
-2.01761 0.87485 -2.14294 0.90279 -1.12871 3.32310 -0.78618 1.00000 6960
-0.51104 -0.30185 0.16142 -0.47954 0.00220 -1.61305 -0.78618 1.00000 6679
-0.53140 -0.30185 1.50248 1.78245 -2.25962 -1.61305 0.47740 1.00000 5575
-0.06314 0.09038 0.48252 -0.03971 -1.12871 0.03233 -2.04975 1.00000 8252
-0.87750 -1.87079 -1.04743 0.46296 0.56765 0.03233 -0.36499 1.00000 1356
1.54523 0.87485 2.18245 0.40013 0.00220 1.67771 0.47740 1.00000 6515
1.66738 0.48262 0.48252 -0.35387 1.69856 0.03233 0.89859 1.00000 7510
-0.67391 -0.30185 -0.27301 0.52579 0.00220 0.03233 -0.36499 1.00000 2081
-0.47032 -0.30185 -0.99076 -0.85653 -0.56326 0.03233 -0.78618 1.00000 228
1.42307 0.09038 -1.00965 -0.35387 0.56765 0.03233 2.16216 1.00000 8737
0.56799 0.09038 0.97361 -0.79370 -0.56326 0.03233 0.47740 1.00000 1538
-0.38888 0.09038 1.16249 -1.67336 0.56765 -3.25844 0.47740 1.00000 6526
0.75123 -0.30185 1.38915 -0.41670 0.00220 0.03233 0.47740 1.00000 1238
-1.06073 1.26709 2.01246 0.83996 -1.12871 1.67771 -0.36499 1.00000 2634
1.07697 0.09038 1.95579 -0.35387 0.00220 1.67771 0.47740 1.00000 4607
-0.40924 -0.30185 0.19919 0.21163 -1.12871 0.03233 -0.36499 1.00000 8734
-1.32540 0.87485 0.25586 -0.35387 -2.25962 0.03233 -1.20737 1.00000 2812
0.01830 0.09038 1.01138 -0.41670 0.00220 0.03233 0.47740 1.00000 7194
-0.44996 -3.04750 -1.10409 0.65146 0.56765 0.03233 -1.20737 1.00000 6459
2.25780 -1.47856 0.87917 -1.86186 2.26402 0.03233 3.42574 1.00000 3021
2.11528 -0.30185 0.86028 0.58862 0.00220 0.03233 0.89859 1.00000 6172
0.05902 0.48262 -0.14080 1.02845 -2.25962 -1.61305 -1.20737 1.00000 8128
0.01830 0.87485 1.04916 -0.29104 -0.56326 0.03233 -0.36499 1.00000 2625
-1.46791 0.09038 -2.04850 0.90279 -0.56326 -3.25844 -0.36499 1.00000 2402
0.91410 -1.87079 1.18138 -1.79903 0.56765 0.03233 0.89859 1.00000 8950
-0.40924 0.09038 0.21808 1.59395 -1.12871 0.03233 -0.78618 1.00000 5630
0.28297 0.87485 -0.25412 -1.23353 0.56765 0.03233 0.47740 1.00000 2078
-0.02242 0.09038 0.38807 1.34262 1.69856 -1.61305 0.89859 1.00000 1781
1.09733 1.26709 0.67140 0.77712 0.00220 0.03233 0.89859 1.00000 8670
0.24225 -1.08632 0.91694 -0.66804 0.56765 0.03233 0.47740 1.00000 4982
0.16081 -1.47856 1.04916 -0.54237 0.00220 0.03233 0.47740 1.00000 2382
0.16081 -1.08632 1.52137 0.83996 1.13311 0.03233 0.47740 1.00000 844
-0.91822 0.09038 -2.04850 -0.41670 0.00220 0.03233 -0.36499 1.00000 6138
0.93446 0.48262 0.29363 0.02313 0.00220 0.03233 0.47740 1.00000 760
1.23984 3.62050 1.76691 0.40013 0.00220 0.03233 0.47740 1.00000 74
0.95482 0.09038 0.06697 0.83996 1.13311 -1.61305 0.47740 1.00000 6018
0.42548 -0.69409 1.80469 0.90279 -0.56326 0.03233 -0.36499 1.00000 1136
0.32369 -1.08632 -0.82077 0.52579 -0.56326 1.67771 -1.20737 1.00000 2563
-0.12421 0.09038 0.44474 0.46296 -2.82508 0.03233 -0.78618 1.00000 6607
0.05902 0.09038 1.42693 1.09129 1.13311 -1.61305 0.47740 1.00000 2354
-1.73258 -0.69409 -1.08520 2.41078 0.56765 -3.25844 -0.36499 1.00000 2962
-1.63079 -0.30185 -0.74522 1.78245 -1.12871 0.03233 -0.78618 1.00000 6838
-0.51104 1.26709 -0.95299 0.08596 -1.12871 0.03233 -0.36499 1.00000 1052
-0.49068 -0.69409 -0.80188 0.27446 0.00220 0.03233 -0.36499 1.00000 8966
-1.18289 -2.26303 0.10475 -0.79370 -0.56326 0.03233 -2.04975 1.00000 13
0.69015 0.09038 1.65358 -0.41670 1.13311 0.03233 1.31978 1.00000 4568
1.09733 0.09038 0.65251 0.27446 0.00220 0.03233 0.47740 1.00000 3847
0.07938 -1.08632 -2.10517 0.33729 0.56765 0.03233 1.31978 1.00000 6973
-1.16253 -0.69409 0.91694 1.34262 0.00220 -1.61305 -0.78618 1.00000 3456
1.01589 0.48262 0.23697 0.21163 0.00220 0.03233 0.89859 1.00000 3443
-0.38888 -0.30185 -0.19746 -1.92469 2.26402 1.67771 -0.78618 1.00000 2740
0.73087 -0.30185 -0.66966 -0.03971 1.13311 0.03233 1.31978 1.00000 298
1.03625 0.48262 1.78580 -1.17070 -0.56326 0.03233 0.89859 1.00000 7253
-0.02242 -0.69409 1.48359 -0.60520 0.00220 -1.61305 0.47740 1.00000 6004
0.40512 0.87485 1.25693 -1.54770 0.00220 0.03233 0.47740 1.00000 525
1.87097 -0.30185 -1.53852 0.08596 -0.56326 0.03233 0.47740 1.00000 8348
-1.10145 0.87485 -0.31079 0.02313 -1.12871 0.03233 -0.78618 1.00000 4054
0.81230 0.48262 1.31360 0.90279 0.56765 0.03233 1.31978 1.00000 3173
1.23984 -0.30185 0.18030 -0.10254 0.56765 1.67771 0.89859 1.00000 8819
1.19913 -1.87079 0.76584 -0.54237 1.69856 0.03233 0.47740 1.00000 5242
-0.18529 -0.30185 -2.31294 -0.79370 0.56765 1.67771 -0.36499 1.00000 4438
0.22189 -0.69409 0.91694 -0.85653 0.00220 0.03233 0.47740 1.00000 5730
0.38476 -1.47856 -1.48186 0.21163 2.82947 0.03233 1.31978 1.00000 2927
-0.59247 -1.08632 -1.61407 -0.47954 1.13311 -1.61305 -0.36499 1.00000 4762
-0.38888 0.09038 0.29363 -0.22820 -2.25962 0.03233 -1.62856 1.00000 6355
0.26261 0.48262 0.55807 -0.91937 0.56765 0.03233 1.31978 1.00000 694
1.13805 -1.08632 -1.38742 -1.17070 0.00220 0.03233 1.31978 1.00000 388
-0.28709 0.09038 1.23804 -0.60520 0.00220 0.03233 -0.36499 1.00000 478
0.36440 -1.47856 -0.80188 1.71962 0.56765 0.03233 0.47740 1.00000 2561
-1.36612 0.87485 -0.29190 0.71429 -0.56326 1.67771 -0.78618 1.00000 8106
0.36440 0.48262 -1.36853 0.08596 -1.69417 0.03233 0.47740 1.00000 7599
1.66738 -0.30185 -1.57630 0.71429 0.00220 0.03233 0.47740 1.00000 250
0.26261 2.44379 1.21915 -0.41670 -1.12871 0.03233 0.47740 1.00000 587
-2.01761 -0.69409 0.35030 -0.91937 -0.56326 0.03233 -0.78618 1.00000 4106
1.13805 2.44379 1.35137 -0.79370 0.56765 0.03233 0.47740 1.00000 60
-0.24637 0.48262 1.25693 -0.54237 0.00220 0.03233 0.47740 1.00000 8850
-0.91822 1.65932 -0.72633 -0.16537 0.00220 -1.61305 -0.36499 1.00000 7077
0.58835 -0.30185 -0.70744 -2.11319 1.13311 0.03233 0.47740 1.00000 3176
-2.48587 0.09038 -1.33075 -0.35387 -1.12871 -3.25844 -1.62856 1.00000 2389
0.07938 1.65932 -0.00858 1.59395 -2.25962 0.03233 -0.78618 1.00000 4382
-0.10386 0.48262 -1.06632 -0.79370 1.13311 0.03233 0.47740 1.00000 1784
-1.26432 -1.47856 -1.14187 1.78245 0.00220 -1.61305 -1.20737 1.00000 4622
1.07697 0.09038 0.31252 -0.73087 1.13311 0.03233 1.31978 1.00000 7841
-2.11940 0.48262 1.29471 1.02845 0.00220 3.32310 0.47740 1.00000 5228
-0.49068 0.09038 0.61473 1.15412 -1.69417 1.67771 -0.36499 1.00000 2242
0.69015 0.09038 -0.31079 -0.47954 0.56765 0.03233 1.31978 1.00000 2085
-1.40684 0.87485 -1.19853 -0.73087 0.00220 1.67771 -0.36499 1.00000 3108
-2.20084 -1.08632 1.06805 1.46829 -0.56326 0.03233 -1.20737 1.00000 134
-0.40924 0.48262 -0.00858 0.33729 -0.56326 0.03233 -0.36499 1.00000 235
1.23984 0.48262 1.38915 -0.54237 0.00220 0.03233 0.47740 1.00000 1242
-0.38888 0.09038 -1.19853 0.33729 0.00220 0.03233 -0.78618 1.00000 1964
0.91410 -2.26303 1.23804 0.65146 1.13311 -1.61305 0.89859 1.00000 7479
-0.06314 -1.47856 0.74695 -0.91937 0.00220 -1.61305 -0.36499 1.00000 3260
-0.00206 0.09038 1.46470 0.58862 -0.56326 0.03233 0.89859 1.00000 1365
-1.63079 -0.69409 0.12364 -0.41670 0.00220 0.03233 -2.04975 1.00000 7432
-0.69427 -0.69409 -1.08520 -0.85653 0.00220 0.03233 -0.36499 1.00000 6748
-1.10145 0.87485 1.03027 1.65678 -2.82508 0.03233 -0.36499 1.00000 3911
1.34164 0.09038 0.12364 0.02313 1.69856 1.67771 1.74097 1.00000 5807
0.30333 0.09038 0.74695 1.09129 0.00220 0.03233 0.47740 1.00000 2612
0.18117 -0.30185 1.01138 0.65146 0.00220 0.03233 0.47740 1.00000 8835
0.46620 0.09038 -0.49967 2.53645 -2.25962 0.03233 0.47740 1.00000 4180
0.18117 0.87485 -0.85855 -0.79370 1.13311 0.03233 0.89859 1.00000 3370
2.09492 0.48262 -0.48078 -0.54237 0.00220 3.32310 0.89859 1.00000 4412
1.13805 -0.30185 1.99357 0.08596 -1.12871 3.32310 -0.36499 1.00000 4867
0.40512 0.48262 1.35137 -2.42736 -0.56326 0.03233 -0.36499 1.00000 5360
-0.34816 0.48262 0.99250 -2.36452 -0.56326 0.03233 -0.36499 1.00000 2491
