Inhabitants Distance Y outlier number
0.79957 1.02617 0.50167 1.00000 479
-0.04081 0.07802 0.64474 1.00000 90
1.54299 1.03951 0.34126 1.00000 337
-0.36404 -0.12894 0.01090 1.00000 398
-0.23475 0.69898 -0.00297 1.00000 34
-0.55797 0.87261 0.47479 1.00000 99
1.28441 -0.60968 -0.16945 1.00000 71
-0.13778 0.87926 0.19212 1.00000 49
0.54099 2.50177 0.35514 1.00000 368
-1.01049 -1.15721 -1.10157 1.00000 77
-0.59029 0.13811 -0.34374 1.00000 12
-0.78423 -0.01544 -0.77902 1.00000 256
-1.04281 -1.15721 -1.19088 1.00000 197
-0.81655 -1.19058 -0.99926 1.00000 79
-0.75191 0.40521 0.14877 1.00000 133
-0.65494 -0.08888 -0.33854 1.00000 145
-0.81655 -0.96359 -1.12238 1.00000 115
-0.84887 -0.04882 -0.55011 1.00000 10
-0.42868 -0.91015 -0.58999 1.00000 268
-0.29939 -0.37600 -0.37322 1.00000 231
-0.36404 -1.07709 -0.83451 1.00000 38
-0.65494 1.23317 0.76614 1.00000 457
-0.65494 -0.94356 -0.70792 1.00000 134
-0.04081 0.03796 0.09414 1.00000 384
-0.68726 -0.33594 -0.50762 1.00000 240
-0.52565 -0.24913 -0.91602 1.00000 387
-0.39636 1.40676 -0.04893 1.00000 211
0.18545 0.93935 1.17800 1.00000 155
-0.46100 0.03131 0.00310 1.00000 93
-0.33171 1.03286 1.08002 1.00000 283
1.12280 -0.30257 0.89100 1.00000 490
-0.36404 -0.31591 0.30831 1.00000 39
-0.17010 2.72880 2.58876 1.00000 290
0.12080 -1.04372 -1.01660 1.00000 250
-0.81655 -0.37600 -0.95850 1.00000 82
3.41770 1.87416 4.10876 1.00000 475
-0.55797 -0.15566 -0.49981 1.00000 190
1.09048 -0.22244 -0.14257 1.00000 43
0.76725 -0.10891 -0.33854 1.00000 443
0.02383 -0.77662 -0.50242 1.00000 322
-0.52565 0.89929 1.24043 1.00000 289
-0.20242 -0.50288 -0.03852 1.00000 46
-0.81655 0.59883 0.04038 1.00000 243
-0.39636 1.87416 0.93869 1.00000 166
0.08848 -0.28919 0.76440 1.00000 351
-0.59029 -0.81668 -0.78335 1.00000 431
0.60564 0.73239 1.73814 1.00000 454
-0.20242 -0.44944 -0.38969 1.00000 406
0.60564 1.66047 1.47975 1.00000 173
-0.33171 -1.36421 -1.18048 1.00000 16
4.83989 1.78066 4.17293 1.00000 154
-0.36404 -0.59634 -0.70358 1.00000 131
1.34906 -0.03548 0.83030 1.00000 375
-0.33171 -0.52291 -0.68017 1.00000 466
0.34706 -0.70319 -0.60213 1.00000 23
-0.84887 0.07137 -0.14518 1.00000 450
0.54099 0.69898 1.01586 1.00000 447
3.70860 0.29836 1.08349 1.00000 158
0.31474 0.25830 0.32132 1.00000 141
0.18545 -0.60968 0.18692 1.00000 382
1.41370 -0.27585 0.68896 1.00000 410
-0.29939 -0.42275 -0.04373 1.00000 86
-0.88120 -0.83003 -1.08510 1.00000 81
0.12080 -0.32925 -0.23102 1.00000 468
-0.23475 -0.92353 -0.62728 1.00000 461
-0.84887 -1.31077 -1.15880 1.00000 441
0.02383 0.29836 0.47566 1.00000 492
-0.65494 -0.88347 -0.95677 1.00000 152
-0.52565 -1.30412 -1.07730 1.00000 449
1.12280 0.37183 1.29593 1.00000 72
3.45002 -0.87009 0.21207 1.00000 61
0.12080 -0.47616 0.49734 1.00000 378
-0.88120 -0.67647 -1.05215 1.00000 403
-0.62262 0.41855 -0.10529 1.00000 411
-0.81655 -0.93018 -0.75127 1.00000 386
0.25009 -1.22400 -1.11111 1.00000 219
-0.62262 1.01948 0.98031 1.00000 252
-0.33171 0.21159 0.14617 1.00000 244
-0.97816 -1.35752 -1.14666 1.00000 415
-0.17010 1.46016 0.83030 1.00000 267
-0.42868 0.48533 -0.16599 1.00000 336
-0.20242 2.80893 1.95838 1.00000 279
0.15312 -0.54959 -0.60387 1.00000 60
0.70261 0.32508 1.41385 1.00000 25
-0.62262 0.64558 -0.31079 1.00000 238
-0.65494 -0.64975 -0.51716 1.00000 380
1.99551 -1.09712 -0.18853 1.00000 302
-0.33171 -0.22244 0.39155 1.00000 3
0.15312 1.51360 1.29072 1.00000 333
0.05616 -1.24403 -0.87006 1.00000 162
0.76725 1.13966 1.00979 1.00000 192
0.31474 -0.18238 -0.02465 1.00000 485
-0.23475 -0.95021 -0.92469 1.00000 254
-0.49333 1.35335 -0.16599 1.00000 439
0.18545 0.53873 0.04298 1.00000 247
-1.01049 -0.64975 -0.93943 1.00000 223
-0.81655 -0.16235 -0.85185 1.00000 106
-1.07513 -0.47616 -0.85792 1.00000 65
-0.29939 -0.06885 -0.59173 1.00000 228
1.12280 -0.99696 -0.38276 1.00000 269
-0.39636 0.31174 0.02304 1.00000 185
-0.04081 -0.62307 -0.43565 1.00000 167
-0.49333 1.60707 0.78174 1.00000 36
0.50867 -0.37600 0.19906 1.00000 314
-0.13778 -0.50288 -0.45993 1.00000 239
0.18545 -1.45768 -0.79376 1.00000 66
-1.10745 -1.51777 -1.31314 1.00000 52
0.70261 -0.37600 -0.42091 1.00000 433
0.28241 -0.52956 -0.07928 1.00000 127
0.34706 0.30505 1.08176 1.00000 186
-0.33171 -0.98362 -0.77295 1.00000 253
