X1 X2 X3 X4 Y outlier number
0.59889 0.67098 0.99233 -0.06499 0.69225 1.00000 35
-0.81723 -0.81615 -0.82721 -0.62776 -0.84072 1.00000 661
-0.72068 -0.76869 -0.76912 -0.40562 -0.54802 1.00000 592
-0.78505 -0.80033 -0.85432 -0.70181 -0.89355 1.00000 483
-0.72068 -0.62631 -0.71334 -0.53890 -0.72751 1.00000 26
-0.81723 -0.72123 -0.79003 -0.76993 -0.91603 1.00000 453
-0.78505 -0.57884 -0.67500 -0.49447 -0.51778 1.00000 330
2.04720 0.59188 0.28008 3.41527 1.86562 1.00000 298
1.08166 1.14560 0.73322 2.08240 1.23793 1.00000 1021
1.56443 0.35457 0.08837 2.74883 1.32111 1.00000 191
0.27704 -0.27825 -0.42752 -0.56852 -0.55867 1.00000 763
-0.36665 0.03816 -0.16957 -0.21309 -0.15611 1.00000 353
-0.36665 -0.59466 -0.55765 -0.68700 -0.72080 1.00000 259
-0.78505 -0.68959 -0.76369 -0.70181 -0.83698 1.00000 180
1.08166 1.14560 1.57328 0.15715 1.12625 1.00000 1026
-0.78505 -0.80033 -0.85432 -0.76401 -0.92466 1.00000 627
-0.20573 -0.12005 0.02330 -0.43523 -0.08515 1.00000 277
1.56443 2.88586 3.70420 0.37929 2.51408 1.00000 1008
2.04720 2.09483 1.50705 0.60144 1.22601 1.00000 347
-0.75286 -0.78451 -0.79003 -0.45004 -0.58409 1.00000 534
-0.81723 -0.81615 -0.71102 -0.53890 -0.69052 1.00000 842
-0.84942 -0.75287 -0.81443 -0.77586 -0.91864 1.00000 870
-0.84942 -0.83197 -0.84812 -0.73143 -0.88691 1.00000 695
-0.72068 -0.62631 -0.71334 -0.40562 -0.52436 1.00000 200
-0.84942 -0.67377 -0.75169 -0.73143 -0.84879 1.00000 370
1.56443 1.62022 1.12013 1.56406 1.27488 1.00000 574
-0.78505 -0.68959 -0.76369 -0.59814 -0.78557 1.00000 651
-0.72068 -0.76869 -0.59483 -0.75216 -0.72608 1.00000 564
-0.20573 -0.51556 -0.62272 0.30525 -0.19883 1.00000 293
-0.84942 -0.75287 -0.81443 -0.58333 -0.81507 1.00000 1031
2.52997 0.82919 1.18520 -0.15385 0.98167 1.00000 349
0.59889 1.46201 1.96135 0.67549 1.49717 1.00000 127
-0.36665 -0.59466 -0.55765 -0.50928 -0.60841 1.00000 445
0.59889 1.46201 1.96135 -0.06499 1.26530 1.00000 440
-0.52757 -0.43646 -0.36245 -0.36119 -0.29378 1.00000 630
0.27704 0.98739 1.38040 0.37929 1.01064 1.00000 680
-0.04480 0.03816 -0.16957 -0.62776 -0.55547 1.00000 919
-0.81723 -0.72123 -0.47864 -0.76993 -0.83056 1.00000 662
-0.52757 -0.19915 -0.07198 -0.13904 0.01046 1.00000 166
-0.78505 -0.68959 -0.76369 -0.76401 -0.90695 1.00000 894
-0.81723 -0.62631 -0.59483 -0.62776 -0.74379 1.00000 78
-0.84942 -0.83197 -0.75052 -0.65738 -0.81310 1.00000 537
-0.36665 -0.59466 -0.68546 -0.68700 -0.80865 1.00000 813
-0.72068 -0.62631 -0.59483 -0.53890 -0.69119 1.00000 747
-0.36665 -0.27825 -0.16957 -0.21309 -0.12295 1.00000 1042
-0.78505 -0.80033 -0.85432 -0.76401 -0.92533 1.00000 626
0.59889 0.67098 0.34631 0.67549 0.51782 1.00000 550
-0.36665 -0.27825 -0.42752 0.08310 -0.18913 1.00000 220
-0.75286 -0.53138 -0.63666 -0.68700 -0.77494 1.00000 1022
1.56443 0.35457 0.60425 2.74883 1.38025 1.00000 866
1.56443 0.35457 0.08837 0.37929 0.29581 1.00000 824
2.04720 2.09483 2.73518 2.00835 2.72455 1.00000 12
-0.52757 -0.43646 -0.55649 -0.13904 -0.32349 1.00000 987
1.56443 1.62022 1.12013 2.74883 1.66032 1.00000 221
1.56443 2.88586 2.15190 1.56406 1.98072 1.00000 392
