ClimbRate Sgz P Q CurRoll AbsRoll DiffClb DiffRollRate DiffDiffClb SaTime1 SaTime2 SaTime3 SaTime4 DiffSaTime1 DiffSaTime2 DiffSaTime3 DiffSaTime4 Sa Y outlier number
0.76299 1.17138 1.57861 0.39279 0.26596 -0.53878 -0.13533 -0.31390 0.14112 -0.12304 -0.11252 -0.11246 -0.10591 0.10707 -0.01041 0.05862 -0.01294 -0.10580 -0.24192 1.00000 10933
0.45318 -0.44032 0.93438 0.04756 -0.46959 -1.27003 0.62165 0.48060 -0.17487 -1.11688 -1.09424 -1.09407 -1.08071 0.10707 -0.01041 0.05862 -0.01294 -1.08036 1.24686 1.00000 11072
-0.71763 -1.54099 -1.03053 0.91065 -1.41529 -0.29503 -0.79769 0.79840 -0.49087 -0.61996 -0.60338 -0.60327 -0.59331 0.10707 -0.01041 0.05862 -0.01294 -0.59308 2.14014 1.00000 8865
-1.03825 -0.95134 2.48053 0.73803 -0.15435 -0.78253 -0.79769 0.00390 0.66778 -1.11688 -0.60338 -0.60327 -0.59331 -3.36864 -0.01041 0.05862 -0.01294 -0.59308 1.84238 1.00000 17
-1.15714 0.50312 -1.15937 -2.45541 -0.46959 1.16747 0.24316 0.16280 4.98635 0.37388 0.37834 0.37834 0.38149 0.10707 -0.01041 0.05862 -0.01294 0.38148 0.80023 1.00000 11882
0.22262 -1.97339 -1.51370 0.30648 1.00151 -1.02628 0.24316 -0.31390 -0.17487 -0.61996 -0.60338 -0.60327 -0.83701 0.10707 -0.01041 1.78093 -0.01294 -0.83672 0.05583 1.00000 14993
-0.22409 -0.04722 0.83775 0.22017 0.16088 0.92372 -0.70307 -0.79060 0.03579 0.12542 0.13291 0.13294 0.13779 0.10707 -0.01041 0.05862 -0.01294 0.13784 -0.09305 1.00000 16273
0.81343 -0.12584 0.32236 -0.55661 1.31674 0.43622 0.33779 -0.55225 -0.06954 0.12542 0.13291 0.13294 0.13779 0.10707 -0.01041 0.05862 -0.01294 0.13784 -0.53968 1.00000 16080
-1.88124 -0.16515 -0.61178 0.04756 1.21166 1.41122 -0.32458 -0.63170 -0.28020 0.62234 0.62377 0.62374 0.62518 0.10707 -0.01041 0.05862 -0.01294 0.62512 -0.68856 1.00000 12225
-1.00223 -0.28308 1.80409 0.65172 1.21166 -0.29503 -0.70307 -0.87005 -0.17487 -0.61996 -0.60338 -0.60327 -0.59331 0.10707 -0.01041 0.05862 -0.01294 -0.59308 0.20471 1.00000 9725
