X Y Month Day FFMC DMC DC ISI Temp RH Wind Rain Y outlier number
1.00831 -0.24400 -2.40824 0.35772 -1.09609 -1.68279 -2.03506 -1.25611 -1.84264 0.53441 3.00706 -0.07327 -0.12937 1.00000 434
-1.15475 -0.24400 0.23053 0.35772 0.17323 0.02388 0.10112 -0.02671 0.43283 -0.14037 -0.51265 -0.07327 -0.13519 1.00000 45
-0.28952 -0.24400 0.67033 0.84060 0.33643 -0.35747 0.60793 -0.42187 0.12254 0.22769 -0.73612 -0.07327 -0.20202 1.00000 162
-1.15475 -0.24400 0.67033 -0.60803 -0.49770 -0.40748 0.71486 -1.16830 0.50178 -0.63111 -1.01547 -0.07327 -0.10704 1.00000 508
1.44092 1.38372 1.11012 -1.57379 -1.04169 -1.22018 0.46912 -1.32197 0.03634 -0.75380 -0.00983 -0.07327 -0.11648 1.00000 85
-0.28952 -1.05786 -0.20926 -0.12516 0.46336 0.05513 0.04866 0.10501 1.94980 -1.36723 0.49298 -0.07327 -0.20202 1.00000 188
-1.58736 -1.87172 -0.20926 0.84060 -0.11690 -0.93104 -1.01539 -0.07062 -0.39462 0.53441 0.77232 -0.07327 -0.19086 1.00000 156
0.14309 -0.24400 0.23053 -0.12516 0.75349 1.74304 0.60793 1.07097 0.24320 -0.14037 -0.73612 -0.07327 -0.20202 1.00000 124
1.00831 -0.24400 0.67033 0.35772 0.26389 -0.18555 0.79636 0.12697 -0.03261 0.35038 -1.01547 -0.07327 -0.10814 1.00000 478
0.57570 -0.24400 0.67033 -1.09091 0.06443 0.29113 0.58372 -0.44383 -0.10156 -0.26305 -0.73612 -0.07327 -0.20202 1.00000 114
1.00831 -0.24400 0.23053 0.84060 0.17323 2.54636 1.09415 -0.29015 -0.58424 1.69994 2.22490 -0.07327 -0.17151 1.00000 187
-0.28952 -0.24400 -1.96844 0.35772 -0.86036 -1.42804 -1.97977 -1.36588 -0.89453 -0.07902 0.99580 -0.07327 -0.20202 1.00000 22
-1.15475 -1.87172 -2.40824 -1.57379 -1.20489 -1.58745 -2.07379 -1.51955 -0.86005 -0.26305 0.77232 -0.07327 -0.20202 1.00000 222
-0.72214 -0.24400 -1.96844 -1.57379 -0.09877 -1.11234 -1.86155 -0.61946 -1.42892 -0.87649 -0.00983 -0.07327 -0.20202 1.00000 227
1.44092 -0.24400 0.23053 0.84060 0.17323 2.54636 1.09415 -0.29015 0.41559 -0.01768 0.26951 -0.07327 -0.01049 1.00000 290
1.44092 1.38372 0.67033 0.84060 0.33643 0.15985 0.51028 -0.09257 -0.18776 0.71844 -1.23894 -0.07327 -0.17136 1.00000 416
1.44092 0.56986 0.23053 -0.60803 0.44523 0.72561 0.47921 0.98316 0.88102 -0.50843 -0.51265 -0.07327 -0.19825 1.00000 402
-1.15475 0.56986 -0.20926 1.32347 0.59029 0.91940 -0.54934 0.71971 0.77759 -0.26305 1.27514 -0.07327 -0.20202 1.00000 47
1.87354 -0.24400 0.67033 -1.09091 -1.13236 -0.58565 0.50019 -1.27806 0.93274 -0.50843 -0.51265 -0.07327 1.45945 1.00000 295
1.00831 -0.24400 0.23053 0.84060 0.51776 0.44585 0.18666 2.47600 0.82931 -0.75380 0.99580 -0.07327 -0.20202 1.00000 178
-0.72214 -0.24400 0.67033 0.35772 0.48149 0.47398 0.66966 1.07097 -0.04985 0.28904 -0.23331 -0.07327 0.36218 1.00000 73
-0.28952 -0.24400 -1.96844 -1.57379 -0.62463 -1.35927 -1.94992 -1.08048 -1.22206 -0.56977 -1.23894 -0.07327 -0.20202 1.00000 380
1.87354 -0.24400 -0.20926 0.84060 0.17323 -0.10428 -0.29472 -0.00476 1.10512 -0.32440 -1.74176 -0.07327 -0.07622 1.00000 58
-0.28952 -0.24400 0.23053 -1.09091 0.75349 -0.04020 0.40012 1.75153 -0.39462 0.59575 0.77232 -0.07327 -0.20202 1.00000 285
0.57570 -1.05786 -2.40824 1.32347 -1.04169 -1.30301 -0.78458 -1.23416 -2.53218 0.41172 -0.00983 -0.07327 -0.20202 1.00000 207
-0.72214 -0.24400 1.98971 -1.57379 -0.95102 -1.33583 -0.79992 -1.40979 -2.46322 -1.42858 2.50425 -0.07327 -0.03329 1.00000 297
-0.28952 0.56986 0.67033 -1.09091 0.08256 0.33489 1.06591 0.76362 -0.51528 -0.38574 0.77232 -0.07327 -0.17450 1.00000 176
1.00831 0.56986 0.67033 -1.09091 0.06443 0.29113 0.58372 -0.44383 0.31216 -0.44708 -1.01547 -0.07327 0.06845 1.00000 384
0.14309 -0.24400 0.23053 1.32347 0.53589 1.94153 0.70679 0.23673 0.89826 0.35038 -0.00983 -0.07327 -0.20202 1.00000 298
0.57570 0.56986 -1.96844 0.84060 0.19136 -1.17329 -1.88495 -0.26820 -0.25671 -1.18320 0.49298 -0.07327 -0.20202 1.00000 480
-0.28952 -1.05786 0.67033 1.32347 -0.02624 -0.22150 0.81735 0.52213 0.26044 0.65710 0.49298 -0.07327 -0.14478 1.00000 35
0.14309 -0.24400 0.67033 -0.60803 0.40896 0.35052 0.61196 0.03915 0.51902 -0.56977 -1.23894 -0.07327 -0.16161 1.00000 198
1.44092 1.38372 0.23053 -1.57379 0.15510 0.53963 0.24315 0.36845 -1.87712 2.55874 -1.01547 -0.07327 -0.20202 1.00000 407
-0.28952 -1.05786 -0.20926 1.32347 0.55402 -0.14960 -0.50253 1.24660 1.24303 0.04366 -0.00983 -0.07327 -0.08629 1.00000 184
-0.72214 -0.24400 0.67033 -1.09091 0.06443 0.29113 0.58372 -0.44383 -0.86005 0.90247 1.27514 -0.07327 -0.02527 1.00000 505
