Input1 Input2 Input3 Input4 Input5 Y outlier number
0.03383 -1.05118 0.24771 -0.73234 1.53844 -0.76337 1.00000 700
-1.58280 0.89259 0.00602 -1.50493 0.88462 -1.55826 1.00000 620
0.43120 0.57829 0.77113 0.79654 1.26255 1.28351 1.00000 690
-1.48603 -0.80292 1.05960 -1.24707 -0.40688 -1.82442 1.00000 1004
0.20354 -1.26737 1.18489 1.35278 -0.97074 0.18362 1.00000 631
-1.03015 1.39872 0.78372 0.21933 1.48321 0.49164 1.00000 803
0.34011 -0.42937 0.15906 1.23442 1.41267 1.07862 1.00000 942
-1.68732 -1.40115 1.31516 1.24278 -0.91087 -0.15693 1.00000 542
-0.51472 0.85910 1.32065 -0.08124 -1.55124 0.14386 1.00000 738
-0.05409 1.57228 -0.10454 -0.85871 -0.87116 -0.05360 1.00000 222
-0.64848 0.11606 -1.17849 -1.10782 -1.67548 -1.10626 1.00000 561
1.20689 -1.12760 -1.47112 1.43471 1.38233 1.63736 1.00000 113
0.40324 0.91435 -0.72674 0.08977 -0.53322 0.59535 1.00000 747
0.30188 -1.25163 -0.91071 0.67766 -1.52376 -0.93841 1.00000 966
1.14348 1.63613 0.62715 0.79202 -0.99003 0.33387 1.00000 299
1.17519 0.31086 -1.12916 0.50217 -0.74649 1.01956 1.00000 598
-0.51841 -1.01503 1.19519 -0.95980 -1.30257 -1.45913 1.00000 306
1.03308 0.00077 0.15481 0.87724 -1.56426 0.43752 1.00000 1096
0.62632 -0.98116 0.31079 1.37671 -1.74245 0.01573 1.00000 467
-0.31615 -1.15575 1.27651 1.03804 1.18005 0.38323 1.00000 142
-1.01573 -1.24448 1.34056 -1.17769 -1.66478 -1.66723 1.00000 836
1.57131 -0.05180 1.25166 -1.66604 -1.47145 -0.20861 1.00000 259
-0.74897 -0.36233 1.61169 -0.99694 -0.13788 -0.36809 1.00000 749
1.05068 1.02492 -0.65798 -0.63604 0.74195 0.46173 1.00000 241
-0.02005 -0.87545 0.23861 -0.45530 -1.33618 -1.54988 1.00000 603
0.23644 -1.22465 -1.45009 1.09325 1.49001 0.62378 1.00000 265
1.31103 0.86379 -0.25357 1.34898 0.49022 1.20070 1.00000 626
-0.38999 -1.18728 1.37308 0.90432 0.54322 0.85384 1.00000 388
-0.56720 0.98828 0.27354 1.16226 0.04816 0.80184 1.00000 751
0.54275 -0.33533 1.17848 0.46184 0.84394 0.93321 1.00000 137
-0.54318 -0.31925 -0.88174 -1.09312 -1.61782 -1.44629 1.00000 1197
-1.09434 -0.00079 -1.62817 0.75031 1.19181 0.78491 1.00000 255
-1.30244 1.28583 -1.54649 -0.73251 -0.18697 -0.73263 1.00000 1195
0.58453 0.99361 1.62599 1.52514 -0.80680 2.33788 1.00000 729
0.83988 -0.21517 0.13078 -0.65910 -0.55848 0.09354 1.00000 61
-0.38054 -1.19630 1.26437 -1.03103 -0.57191 -1.51930 1.00000 47
0.12587 -1.00446 -0.47556 0.99021 -0.59016 -0.07907 1.00000 536
0.26960 1.39702 1.18989 -1.30884 1.78152 0.82379 1.00000 679
0.98897 -0.08383 -0.15656 -1.34313 -0.69548 -0.54948 1.00000 640
0.25372 0.06791 -0.91277 1.16956 1.44132 1.78231 1.00000 669
-0.56867 0.32805 0.87640 -0.07558 1.30590 0.14255 1.00000 71
0.70166 0.01335 1.10168 1.59139 -1.17174 1.37304 1.00000 964
-0.30450 -0.25454 1.51923 1.53812 0.02098 1.43259 1.00000 1168
1.45921 -1.16993 1.62307 0.37743 -1.23287 0.46664 1.00000 1084
-1.03897 0.73602 0.99843 1.54386 0.05715 0.68565 1.00000 653
1.12683 -0.30319 0.29533 1.37259 0.05080 1.32145 1.00000 155
-1.12525 -1.11407 -1.29848 0.03680 0.02492 -0.53029 1.00000 313
0.97904 -1.37871 0.33971 -0.86954 -1.67854 -1.56218 1.00000 699
0.60739 -1.27158 0.60958 0.72202 1.28603 0.20479 1.00000 1144
-0.23856 1.17530 -1.14506 -0.41134 1.11723 0.97045 1.00000 268
-0.64566 0.27905 -0.34886 0.14233 -1.71455 -0.74465 1.00000 814
-0.73052 -1.39776 0.54184 1.09602 0.54750 -0.26598 1.00000 341
1.10486 0.40125 1.55180 0.55569 0.52952 2.07875 1.00000 3
0.50798 -1.50217 -0.27989 1.58095 -1.73221 -0.69242 1.00000 1063
0.90713 0.38903 0.70199 1.19752 1.52581 1.90352 1.00000 362
0.39981 1.59698 0.82143 1.53204 0.05446 1.95671 1.00000 1140
-0.19275 0.90480 0.84777 1.57018 1.66292 1.87982 1.00000 764
0.02847 1.30715 0.14583 -1.14221 -1.61935 -0.40074 1.00000 28
0.77688 -0.25538 0.09035 -1.04230 1.34956 -0.17524 1.00000 539
0.00265 -1.37277 0.86037 1.11089 -1.20850 -0.66665 1.00000 317
0.62745 -0.24580 -1.17409 0.79077 0.89715 1.50912 1.00000 1187
1.65397 0.56097 0.88899 -0.58981 0.82566 0.56639 1.00000 86
-1.59920 1.28574 0.98616 -1.68149 1.71584 -1.54221 1.00000 563
-1.44941 1.38648 -0.28232 -1.64982 -0.44254 -1.82089 1.00000 1058
-0.40884 -0.68413 0.09785 0.21861 1.46447 -0.38932 1.00000 238
-1.43495 -0.93283 -1.72056 0.44901 1.51024 0.56665 1.00000 239
0.64750 0.83105 1.58517 0.64090 -0.08398 1.81173 1.00000 552
-1.72130 1.63788 0.84199 -0.03844 0.08572 -1.10169 1.00000 969
0.09249 1.08696 -0.76313 1.50695 0.01845 1.60961 1.00000 1036
-1.24572 1.51397 -0.87580 -1.43580 0.61206 -0.99822 1.00000 988
-1.27319 -0.17297 -0.81438 -1.79170 -0.30818 -1.73905 1.00000 326
1.27836 -0.35958 1.31809 -1.08408 -0.79504 0.22020 1.00000 673
0.29734 -1.17098 1.47111 1.42516 -0.90492 0.29886 1.00000 765
0.89364 -1.44224 -0.59608 0.36550 1.27333 -0.64017 1.00000 494
0.95032 -1.56999 0.88775 1.05238 1.22888 0.24437 1.00000 781
0.45918 0.43873 -1.45346 -1.05121 1.80894 0.77541 1.00000 356
-1.26029 -0.61737 -1.23239 0.67010 1.66138 0.43012 1.00000 1150
0.99519 -0.88128 0.84330 -1.00308 -0.59415 -0.43774 1.00000 110
-0.59296 -1.11502 -0.37138 -0.22497 1.57889 -0.44481 1.00000 889
-1.15171 0.22695 -1.48662 1.01190 1.37127 0.84510 1.00000 806
1.54103 1.57263 -0.09448 1.42845 -0.30709 -0.26106 1.00000 1069
-0.32375 -0.19120 0.57844 -1.68783 -0.78048 -1.05184 1.00000 383
0.73051 1.48158 1.07973 -0.12911 -0.13875 0.81342 1.00000 1113
0.20218 -0.87795 -0.48103 -1.06524 1.31621 -0.67133 1.00000 1193
0.60011 -0.63033 0.82803 0.85844 0.37293 0.40473 1.00000 865
