Input1 Input2 Input3 Input4 Y outlier number
-1.02414 -0.89422 3.01043 1.04784 -0.65651 1.00000 418
0.32335 -0.55277 -0.23219 0.38661 0.77149 1.00000 161
-0.83164 -0.46741 -1.04285 -0.99985 -0.72045 1.00000 109
0.02391 -0.83020 -0.87218 -0.40261 1.13382 1.00000 754
-1.02414 -0.44607 -1.12818 -1.14917 -1.14672 1.00000 483
-0.81025 -0.21132 -0.95752 -0.93586 -0.52863 1.00000 64
-0.14720 -0.06194 1.28245 -0.01867 -0.67782 1.00000 249
0.10946 -0.12596 0.13047 -0.01867 -0.23024 1.00000 506
-0.51081 0.81303 -0.27486 -0.55192 -0.48600 1.00000 610
-0.81025 0.66364 -0.82952 -0.87187 -0.63520 1.00000 265
0.98640 -0.59545 1.34645 1.19715 -0.08105 1.00000 959
-1.02414 1.45324 0.06647 -0.85054 -1.04015 1.00000 426
-0.68192 0.08745 -0.80818 -0.70123 -0.23024 1.00000 961
-0.87441 0.42890 -0.91485 -0.93586 -0.67782 1.00000 303
-1.10969 0.13013 1.64511 -0.74389 -1.08278 1.00000 404
0.10946 -0.65947 -0.68019 -0.08266 1.21907 1.00000 689
-0.83164 -0.01926 -0.95752 -0.91453 -0.59257 1.00000 316
-0.93858 2.26418 -0.57352 -0.93586 -0.97621 1.00000 58
-0.93858 1.11179 -0.89352 -0.95719 -0.82702 1.00000 310
0.70835 -0.65947 -0.23219 0.68523 1.24038 1.00000 653
-0.08303 -0.63813 -0.70152 -0.23197 1.00594 1.00000 694
-0.63914 -1.02226 2.83976 2.39164 -0.44337 1.00000 902
-1.21663 -0.78752 -1.14951 -1.10651 -0.93358 1.00000 498
-0.59636 0.30085 -0.65885 -0.61591 -0.18761 1.00000 645
-0.44664 0.74900 -0.21086 -0.48793 -0.46469 1.00000 600
-1.02414 2.28553 -0.87218 -1.04251 -1.01884 1.00000 100
-0.66053 1.21850 0.08780 -0.63724 -0.80570 1.00000 960
-0.95997 0.70632 0.85579 -0.70123 -1.01884 1.00000 114
1.54250 -1.00092 0.70646 3.03155 0.85674 1.00000 112
0.55863 -0.40339 1.41045 0.66390 -0.31549 1.00000 954
-0.61775 1.02643 -0.40286 -0.63724 -0.59257 1.00000 639
-0.36109 0.34353 0.77046 -0.29596 -0.72045 1.00000 231
-1.00275 -0.04060 -1.08551 -1.10651 -1.06146 1.00000 882
-0.61775 0.32219 -0.65885 -0.63724 -0.23024 1.00000 651
-0.91719 -0.04060 -1.04285 -1.02118 -0.82702 1.00000 101
-0.55359 -0.21132 2.00777 -0.06133 -0.82702 1.00000 777
-0.36109 0.66364 0.25847 -0.40261 -0.61388 1.00000 632
-0.59636 0.87705 -0.33886 -0.59458 -0.57126 1.00000 177
-0.29692 -1.19299 -1.19218 -0.87187 0.96331 1.00000 145
-0.72469 -0.10462 -0.89352 -0.80788 -0.27287 1.00000 855
-0.36109 -0.38205 -0.74418 -0.44527 0.43048 1.00000 221
-0.85303 0.98375 0.47180 -0.67990 -0.95490 1.00000 69
-0.53220 -0.21132 -0.80818 -0.61591 0.08946 1.00000 240
0.06669 0.06611 0.40780 0.02399 -0.29418 1.00000 926
-0.14720 -0.36071 -0.57352 -0.14665 0.66492 1.00000 628
0.21641 -0.31802 -0.04020 0.27996 0.36653 1.00000 547
0.47307 -0.87288 -0.74418 0.04532 1.70928 1.00000 732
0.40890 -0.27534 0.42913 0.40794 0.02552 1.00000 564
-0.53220 -0.68081 -0.97885 -0.78655 0.11077 1.00000 71
-1.17386 2.24284 -0.18953 -1.02118 -1.12540 1.00000 413
0.34474 -0.27534 1.15445 0.40794 -0.40075 1.00000 206
-1.02414 0.08745 -1.06418 -1.10651 -0.99752 1.00000 879
-0.57497 -0.31802 2.26377 0.02399 -0.84833 1.00000 791
-1.04552 1.73067 -0.06153 -0.91453 -1.06146 1.00000 456
-0.23276 -0.16864 1.58111 0.04532 -0.72045 1.00000 717
-0.68192 1.04777 0.17313 -0.61591 -0.84833 1.00000 252
-0.21137 0.42890 0.34380 -0.21064 -0.50732 1.00000 604
0.17363 -0.95824 -1.00018 -0.72256 0.70755 1.00000 110
-0.57497 -0.76618 -1.04285 -0.91453 -0.18761 1.00000 875
0.38752 -0.70215 -0.53085 0.25863 1.41089 1.00000 957
-0.89580 1.70933 -0.68019 -0.89320 -0.86964 1.00000 282
-1.10969 2.88306 -0.93618 -1.08517 -1.10409 1.00000 392
-1.23802 -1.10762 -1.10685 -0.93586 -0.57126 1.00000 499
-0.81025 0.77035 0.62113 -0.63724 -0.93358 1.00000 320
-0.61775 1.04777 -0.40286 -0.65857 -0.63520 1.00000 195
0.34474 -0.23266 0.87712 0.30129 -0.33681 1.00000 175
-0.68192 -0.42473 -0.95752 -0.82921 -0.18761 1.00000 311
-0.27553 -0.40339 -0.63752 -0.27463 0.60098 1.00000 203
0.30196 -0.12596 0.91979 0.25863 -0.35812 1.00000 619
-1.10969 2.47759 -0.29619 -1.04251 -1.12540 1.00000 140
-1.10969 -1.23567 -1.12818 -0.78655 -1.10409 1.00000 905
-0.85303 -0.44607 -1.08551 -1.02118 -0.67782 1.00000 447
0.06669 -0.78752 2.41310 1.15449 -0.54994 1.00000 432
-0.36109 0.59962 0.27980 -0.35995 -0.59257 1.00000 625
1.28584 -0.68081 0.59980 1.36779 0.55836 1.00000 663
-0.27553 0.42890 0.02380 -0.29596 -0.37943 1.00000 565
-0.29692 -0.63813 -0.87218 -0.48793 0.68624 1.00000 17
1.45695 -0.93690 -0.57352 0.68523 2.26343 1.00000 54
-0.98136 0.45024 -1.02151 -1.04251 -0.91227 1.00000 361
-1.08830 1.53861 0.15180 -0.95719 -1.10409 1.00000 397
-0.91719 1.23984 -0.85085 -0.95719 -0.82702 1.00000 44
1.20029 -0.68081 1.21845 1.41045 0.08946 1.00000 691
0.81529 -0.74484 1.83711 1.53844 -0.16630 1.00000 749
-0.74608 -0.16864 -0.91485 -0.87187 -0.40075 1.00000 753
0.77251 -0.53143 1.34645 0.89853 -0.20893 1.00000 842
0.83668 -0.57411 0.49313 0.87720 0.30259 1.00000 174
-0.21137 0.23683 -0.04020 -0.25330 -0.29418 1.00000 522
0.25918 -0.85154 -0.78685 -0.14665 1.51746 1.00000 295
0.87946 -0.57411 0.53580 0.91986 0.28128 1.00000 181
0.13085 -0.29668 -0.21086 0.17330 0.55836 1.00000 574
-1.06691 3.11781 -0.82952 -1.04251 -1.08278 1.00000 822
0.38752 -0.36071 0.06647 0.42927 0.40916 1.00000 563
0.43029 -0.21132 0.59980 0.40794 -0.08105 1.00000 929
-0.46803 0.34353 -0.50952 -0.48793 -0.12367 1.00000 606
-0.85303 0.30085 1.15445 -0.55192 -0.97621 1.00000 433
-0.23276 -0.78752 2.75443 1.17582 -0.59257 1.00000 372
-1.13108 1.04777 -1.02151 -1.06384 -0.97621 1.00000 421
-1.04552 2.32821 -0.44552 -0.99985 -1.08278 1.00000 445
2.29111 -1.02226 -0.57352 1.00518 2.60444 1.00000 356
1.90611 -0.95824 -0.53085 0.98385 2.32737 1.00000 66
0.75112 -0.83020 -0.53085 0.42927 1.73059 1.00000 966
-0.42525 -0.46741 2.34910 0.23730 -0.76308 1.00000 344
-0.51081 0.23683 1.21845 -0.29596 -0.78439 1.00000 25
-0.89580 0.81303 0.70646 -0.67990 -0.97621 1.00000 92
0.55863 -0.40339 0.23713 0.59991 0.40916 1.00000 581
-0.87441 0.55694 -0.91485 -0.91453 -0.69914 1.00000 40
-1.02414 2.66966 -0.68019 -0.97852 -1.01884 1.00000 93
-0.70331 -0.63813 3.11709 0.47193 -0.82702 1.00000 821
-0.42525 0.38621 -0.44552 -0.42394 -0.16630 1.00000 596
-0.78886 -0.51009 2.81843 0.08798 -0.89096 1.00000 878
2.35527 -1.02226 0.10914 2.28499 1.47483 1.00000 349
1.11473 -0.85154 -0.48819 0.68523 1.96504 1.00000 800
-0.10442 -0.18998 -0.29619 -0.04000 0.28128 1.00000 546
-0.36109 0.40756 -0.27486 -0.35995 -0.27287 1.00000 560
1.54250 -0.87288 1.13312 2.15701 0.34522 1.00000 756
-0.91719 1.92274 -0.70152 -0.89320 -0.89096 1.00000 742
2.76166 -1.08628 -0.63752 1.00518 2.92414 1.00000 377
-0.81025 -0.42473 -1.02151 -0.97852 -0.57126 1.00000 354
-1.04552 1.51727 -1.00018 -1.08517 -1.01884 1.00000 446
-0.04026 0.08745 0.17313 -0.08266 -0.27287 1.00000 528
0.60140 -0.68081 -0.31752 0.55725 1.21907 1.00000 838
-0.89580 1.88005 -0.59485 -0.89320 -0.86964 1.00000 724
1.11473 -0.83020 1.53845 1.81573 -0.01711 1.00000 866
0.34474 -0.16864 0.79179 0.34395 -0.20893 1.00000 603
-0.93858 1.90140 -0.21086 -0.85054 -0.95490 1.00000 63
0.94362 -0.89422 -0.59485 0.47193 1.94373 1.00000 727
-0.29692 -0.38205 -0.68019 -0.31729 0.60098 1.00000 951
0.43029 -0.21132 0.55713 0.42927 -0.01711 1.00000 576
-0.31831 0.38621 0.83446 -0.27463 -0.69914 1.00000 675
-0.16859 -0.12596 -0.42419 -0.16798 0.40916 1.00000 932
1.75639 -0.87288 0.85579 2.09302 0.55836 1.00000 36
0.28057 -0.40339 -0.16819 0.32262 0.72886 1.00000 591
2.24833 -1.00092 0.17313 2.22100 1.34695 1.00000 336
0.25918 -0.68081 -0.59485 0.10931 1.34695 1.00000 683
-1.00275 2.00810 -0.82952 -0.99985 -0.97621 1.00000 779
-1.00275 1.70933 -0.89352 -1.02118 -0.97621 1.00000 88
1.54250 -1.10762 -1.12818 -0.97852 0.13209 1.00000 401
-0.36109 0.53560 0.30113 -0.35995 -0.61388 1.00000 835
