MYCT MMIN MMAX CACH CHMIN CHMAX Y outlier number
-0.09175 -0.67348 -0.66642 -0.62188 -0.54391 -0.58870 -0.58351 1.00000 201
-0.69644 3.39377 4.46245 0.95714 1.66199 0.52948 3.30566 1.00000 9
-0.56934 0.29255 0.01743 -0.62188 -0.54391 -0.39591 -0.39653 1.00000 164
4.99222 -0.54271 -0.92287 -0.62188 -0.69097 -0.70437 -0.58351 1.00000 123
-0.50772 0.29255 0.35935 0.95714 0.48551 -0.08745 0.23296 1.00000 149
-0.59245 -0.22432 1.72705 -0.02975 0.19139 0.29813 0.05222 1.00000 195
-0.39987 -0.48275 -0.32450 -0.02975 -0.39685 -0.47303 -0.49626 1.00000 133
-0.55393 0.29255 0.35935 0.16763 -0.54391 -0.47303 -0.12230 1.00000 145
0.56300 -0.72465 -1.00288 -0.62188 -0.54391 -0.55014 -0.59598 1.00000 15
-0.16878 -0.60887 -0.66642 -0.57254 -0.54391 -0.51158 -0.47133 1.00000 177
-0.36136 0.55099 -0.58094 2.88157 0.48551 1.76333 0.08961 1.00000 20
-0.16878 -0.48275 -0.32450 -0.22713 -0.54391 -0.16456 -0.28435 1.00000 180
-0.24581 -0.22432 -0.32450 0.16763 -0.54391 1.37775 -0.24695 1.00000 90
2.68132 -0.48275 -0.66642 -0.52319 -0.54391 -0.62726 -0.54612 1.00000 110
-0.43069 -0.22432 -0.32450 -0.52319 -0.54391 -0.47303 -0.34667 1.00000 143
-0.59245 -0.06409 -0.11251 0.11829 1.07375 0.22102 -0.45886 1.00000 33
-0.36136 -0.48275 0.01743 -0.22713 -0.54391 -0.62726 -0.28435 1.00000 56
-0.43069 -0.22432 -0.32450 0.16763 -0.54391 -0.47303 -0.27188 1.00000 141
0.37043 -0.54271 -0.75191 -0.62188 0.19139 0.22102 -0.43393 1.00000 74
-0.56934 -0.48275 -0.66642 -0.62188 -0.54391 -0.47303 -0.55235 1.00000 160
-0.59245 -0.48275 -0.32450 -0.42450 -0.24979 -0.51158 -0.43393 1.00000 41
-0.38062 -0.22432 -0.66642 -0.42450 -0.24979 -0.39591 -0.52119 1.00000 184
-0.59245 -0.48275 -0.66642 -0.42450 -0.54391 -0.51158 -0.47756 1.00000 38
0.17785 -0.60887 -0.66642 -0.62188 -0.10273 -0.43447 -0.34667 1.00000 175
-0.24581 -0.22432 1.72705 0.16763 -0.54391 1.37775 0.51967 1.00000 92
-0.49616 -0.22432 -0.32450 -0.42450 -0.24979 0.22102 -0.27188 1.00000 71
-0.01472 -0.48275 -0.32450 -0.62188 -0.54391 -0.62726 -0.43393 1.00000 54
-0.49616 -0.22432 0.35935 0.95714 -0.54391 0.76083 0.23920 1.00000 65
-0.68488 1.32629 1.72705 -0.62188 0.48551 0.22102 1.06814 1.00000 98
-0.38062 -0.22432 -0.49546 -0.22713 0.19139 -0.08745 -0.45263 1.00000 185
4.99222 -0.54271 -0.83739 -0.62188 -0.69097 -0.70437 -0.54612 1.00000 124
-0.55393 -0.22432 -0.32450 0.98181 -0.54391 -0.39591 -0.08490 1.00000 13
0.44746 -0.67503 -0.58094 -0.52319 -0.54391 -0.47303 -0.49002 1.00000 30
-0.68488 1.32629 1.72705 0.95714 0.48551 0.52948 1.32368 1.00000 6
-0.23426 0.05996 -0.47837 -0.62188 0.04433 0.06678 -0.45263 1.00000 22
-0.24581 -0.22432 -0.66642 -0.62188 -0.24979 -0.47303 -0.47756 1.00000 86
-0.63867 3.39377 1.72705 2.53616 1.66199 0.52948 2.52034 1.00000 154
-0.55778 0.29255 0.01743 0.16763 0.19139 -0.24168 0.04598 1.00000 189
0.48597 -0.48275 -0.75191 -0.62188 -0.39685 -0.55014 -0.55858 1.00000 81
0.17785 -0.60887 -0.66642 -0.62188 -0.54391 -0.43447 -0.50249 1.00000 174
-0.23426 -0.48275 -0.83739 -0.62188 0.04433 -0.08745 -0.46509 1.00000 19
0.44746 -0.60887 -0.58094 -0.52319 -0.54391 -0.51158 -0.17839 1.00000 29
2.29617 -0.67503 -0.32450 -0.62188 -0.54391 -0.55014 -0.57105 1.00000 59
-0.63867 1.32629 0.35935 0.95714 -0.10273 -0.39591 -0.03504 1.00000 168
0.37043 -0.54271 -0.62368 -0.62188 -0.54391 0.22102 -0.37784 1.00000 77
-0.49616 -0.22432 0.35935 2.53616 -0.54391 0.76083 0.95595 1.00000 66
