Strength Temperature Y outlier number
1.13698 1.58114 -0.29277 1.00000 334
0.90687 0.63246 0.29277 1.00000 676
-0.10828 -0.63246 -1.46385 1.00000 525
-0.13535 -0.31623 0.29277 1.00000 1021
-1.05576 -0.63246 0.87831 1.00000 981
-0.85273 0.00000 1.46385 1.00000 844
-0.01354 -0.63246 -0.87831 1.00000 1425
0.31132 0.00000 -0.87831 1.00000 1240
-0.24364 -0.94868 -1.46385 1.00000 849
0.78506 0.31623 -0.29277 1.00000 1428
0.51435 0.00000 -0.29277 1.00000 657
-0.31132 0.63246 1.46385 1.00000 798
-0.24364 -0.94868 -1.46385 1.00000 92
1.25880 1.26491 -0.29277 1.00000 482
0.89334 0.63246 -0.87831 1.00000 604
-1.05576 -0.63246 0.87831 1.00000 263
-0.24364 0.63246 1.46385 1.00000 159
-1.10991 -1.58114 0.29277 1.00000 1547
-1.73254 -1.26491 0.87831 1.00000 137
-0.78506 -0.63246 0.87831 1.00000 339
-0.79859 -1.26491 -0.29277 1.00000 811
0.29778 0.94868 0.87831 1.00000 1627
-1.29940 -0.63246 0.87831 1.00000 264
0.10828 0.63246 0.87831 1.00000 100
0.33839 0.00000 -0.29277 1.00000 801
1.05576 0.94868 0.29277 1.00000 1076
-0.44667 -1.26491 -1.46385 1.00000 1117
-0.74445 -1.26491 0.29277 1.00000 1430
-1.31294 -0.94868 0.87831 1.00000 114
0.40606 0.31623 0.29277 1.00000 1330
-0.82566 -0.94868 0.29277 1.00000 1316
-0.25717 -0.94868 -0.87831 1.00000 250
1.16405 0.94868 -0.87831 1.00000 1644
0.92041 0.31623 -1.46385 1.00000 1204
1.10991 0.63246 -0.87831 1.00000 260
1.52951 0.94868 -1.46385 1.00000 1455
0.06768 0.00000 0.29277 1.00000 461
-0.17596 0.31623 0.29277 1.00000 150
-0.17596 -0.31623 0.87831 1.00000 378
1.98971 1.26491 -0.87831 1.00000 1255
-0.09475 0.63246 1.46385 1.00000 78
-1.42122 -1.26491 0.29277 1.00000 1298
0.33839 0.63246 0.87831 1.00000 564
0.09475 -0.94868 -0.87831 1.00000 331
0.08121 0.63246 0.87831 1.00000 892
1.01516 0.94868 -0.29277 1.00000 1355
-0.40606 0.00000 1.46385 1.00000 925
-0.98809 -1.26491 0.87831 1.00000 341
-1.32647 -0.63246 1.46385 1.00000 1064
0.55495 0.63246 0.29277 1.00000 158
0.04061 -0.31623 -0.87831 1.00000 527
0.05414 1.26491 1.46385 1.00000 394
-0.78506 -0.31623 0.87831 1.00000 212
0.71738 0.31623 -0.87831 1.00000 1173
-1.05576 -1.58114 -0.29277 1.00000 699
-0.06768 -0.63246 -1.46385 1.00000 261
-0.71738 0.00000 1.46385 1.00000 922
0.98809 0.63246 -0.87831 1.00000 181
-0.87980 -1.26491 -0.87831 1.00000 1418
-0.73091 -1.58114 -1.46385 1.00000 309
0.32485 1.58114 1.46385 1.00000 1460
-1.00162 -0.63246 0.87831 1.00000 736
0.47374 0.31623 -0.29277 1.00000 98
0.50081 1.58114 1.46385 1.00000 991
0.56849 0.94868 0.29277 1.00000 548
-0.73091 -0.94868 -0.29277 1.00000 928
1.44829 0.31623 -1.46385 1.00000 344
-1.93557 -1.58114 0.87831 1.00000 1308
-0.98809 -0.94868 0.29277 1.00000 993
0.90687 1.58114 0.29277 1.00000 1348
-0.58202 -1.26491 -1.46385 1.00000 1397
-1.12344 -1.58114 -0.87831 1.00000 1409
-0.24364 0.00000 0.29277 1.00000 733
0.25717 -0.63246 -1.46385 1.00000 329
-1.31294 -1.26491 0.29277 1.00000 1350
0.83920 0.94868 0.29277 1.00000 1558
-1.00162 -1.26491 -0.29277 1.00000 1371
-1.34001 -0.94868 1.46385 1.00000 192
-0.51435 -0.31623 0.29277 1.00000 1089
0.63617 1.58114 0.87831 1.00000 789
-1.59718 -0.94868 1.46385 1.00000 1506
-0.85273 -1.58114 -1.46385 1.00000 1432
0.52788 -0.31623 -1.46385 1.00000 31
0.05414 -0.31623 -1.46385 1.00000 1211
-1.05576 -1.26491 -0.29277 1.00000 343
-0.18950 0.63246 1.46385 1.00000 533
-2.00325 -1.26491 1.46385 1.00000 280
0.01354 -0.63246 -0.87831 1.00000 382
1.28587 0.63246 -1.46385 1.00000 70
-0.18950 0.63246 1.46385 1.00000 1444
2.30103 1.58114 -1.46385 1.00000 992
0.78506 -0.31623 -1.46385 1.00000 1201
-1.52951 -1.58114 -0.29277 1.00000 1222
0.90687 0.94868 -0.87831 1.00000 795
0.47374 1.58114 1.46385 1.00000 427
-0.87980 0.00000 1.46385 1.00000 581
-0.10828 -0.31623 -0.87831 1.00000 682
1.40769 1.58114 -0.87831 1.00000 72
-0.31132 0.00000 0.29277 1.00000 459
1.19112 0.94868 -0.87831 1.00000 779
0.87980 1.58114 1.46385 1.00000 635
1.19112 1.26491 -0.29277 1.00000 1128
-0.31132 -0.63246 -0.87831 1.00000 441
0.23010 0.31623 -0.29277 1.00000 370
-1.39415 -0.63246 1.46385 1.00000 561
-0.64970 -0.31623 0.29277 1.00000 1153
-0.17596 -0.63246 -1.46385 1.00000 272
-0.17596 0.00000 -0.29277 1.00000 47
-0.28424 -1.26491 -1.46385 1.00000 117
0.62263 0.00000 -1.46385 1.00000 372
-1.05576 -0.94868 0.87831 1.00000 37
0.56849 1.26491 0.87831 1.00000 575
0.47374 0.63246 0.29277 1.00000 203
-0.23010 -0.31623 -0.29277 1.00000 692
-0.29778 -0.63246 0.29277 1.00000 315
-1.29940 -0.31623 1.46385 1.00000 897
-0.92041 -1.58114 -1.46385 1.00000 783
1.42122 1.26491 -0.29277 1.00000 966
-0.44667 -0.63246 0.87831 1.00000 460
-0.28424 -0.31623 0.29277 1.00000 1068
-0.13535 0.00000 0.87831 1.00000 1016
-0.13535 -0.63246 -0.29277 1.00000 1340
1.65132 1.58114 -0.87831 1.00000 939
1.19112 0.63246 -1.46385 1.00000 1390
-0.46021 -0.63246 -0.29277 1.00000 778
-0.51435 -1.26491 -1.46385 1.00000 128
-0.73091 -0.63246 0.29277 1.00000 1636
-1.98971 -1.58114 1.46385 1.00000 764
0.02707 0.00000 0.29277 1.00000 944
-0.16243 -0.63246 -0.87831 1.00000 1261
-1.02869 -0.31623 0.87831 1.00000 407
-1.19112 -1.26491 -0.29277 1.00000 628
-1.90850 -1.58114 1.46385 1.00000 714
0.09475 0.00000 -0.29277 1.00000 11
-2.13860 -1.58114 1.46385 1.00000 871
-0.06768 -0.31623 -0.29277 1.00000 305
0.44667 -0.31623 -1.46385 1.00000 842
-0.74445 -0.31623 1.46385 1.00000 1030
-1.05576 -1.58114 -0.87831 1.00000 9
-0.87980 -0.63246 0.87831 1.00000 335
-0.78506 -1.26491 -0.87831 1.00000 1602
0.63617 0.94868 -0.29277 1.00000 1073
1.96264 1.26491 -0.87831 1.00000 955
-1.24526 -0.63246 1.46385 1.00000 627
0.70384 0.63246 -0.87831 1.00000 1020
0.62263 1.58114 1.46385 1.00000 740
0.05414 0.63246 0.29277 1.00000 481
0.02707 0.63246 0.87831 1.00000 1180
0.71738 0.94868 0.29277 1.00000 1448
1.39415 0.94868 -1.46385 1.00000 1366
0.06768 -0.31623 0.29277 1.00000 1041
0.56849 -0.31623 -1.46385 1.00000 1412
0.36546 1.26491 0.87831 1.00000 945
1.69193 0.94868 -0.87831 1.00000 190
-0.04061 0.94868 1.46385 1.00000 700
0.37899 1.26491 1.46385 1.00000 1241
-0.09475 0.00000 0.29277 1.00000 433
-0.43313 0.31623 1.46385 1.00000 1166
0.17596 0.94868 1.46385 1.00000 1158
-0.75799 0.31623 1.46385 1.00000 753
-0.28424 -0.63246 -0.29277 1.00000 506
0.83920 0.63246 -0.87831 1.00000 1614
0.06768 0.31623 1.46385 1.00000 1059
-1.66486 -0.94868 1.46385 1.00000 1510
0.55495 0.94868 0.87831 1.00000 193
-0.04061 0.00000 -0.29277 1.00000 1471
-1.25880 -1.26491 -0.29277 1.00000 10
-0.21657 0.31623 0.29277 1.00000 1307
-1.05576 -0.63246 0.87831 1.00000 1591
0.67677 1.26491 1.46385 1.00000 1184
-1.42122 -1.58114 -0.29277 1.00000 1080
-2.07092 -1.58114 1.46385 1.00000 1387
0.29778 1.26491 1.46385 1.00000 1515
-0.78506 -1.26491 -0.29277 1.00000 436
