Att0 Att1 Att2 Att3 Att4 Att5 Att6 Att7 Att8 Att9 Att10 Att11 Att12 Att13 Att14 Att15 Att16 Att17 Att18 Att19 Att20 Att21 Att22 Att23 Att24 Att25 Y outlier number
-0.13848 -0.55178 -0.47561 -0.32912 -0.22330 -0.41206 -0.61901 -0.61732 0.55602 0.42207 0.66981 -0.48903 -0.34002 -0.32950 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 1.70280 1.00000 7712
-0.30867 -0.31219 -0.47561 0.04480 -0.10639 -0.41206 -0.61901 -0.46379 -0.46817 0.21539 1.74048 -0.48903 -0.34002 -0.32950 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 1.12455 -0.16097 -0.16049 -0.11275 1.70280 1.00000 1001
-1.64188 -0.79137 3.75012 -0.32912 -0.22330 -0.41206 -0.61901 -0.36144 -0.57059 -0.61134 -0.60478 -0.48903 -0.34002 -0.32950 -0.32058 -0.27843 0.82386 7.69785 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 -0.69379 1.00000 13861
0.57068 -0.64761 -0.41437 -0.25433 -0.22330 1.55526 0.44211 -0.56614 -0.62180 0.78377 0.36391 -0.48903 -0.34002 -0.32950 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.00110 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 -0.69379 1.00000 2829
-1.67025 -0.83928 -0.10816 6.55087 -0.10639 -0.41206 -0.61901 -0.46379 -0.51938 -0.61134 -0.60478 -0.48903 -0.34002 -0.32950 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 2.98779 10.13918 -0.15784 -0.16097 -0.16049 0.34317 -0.69379 1.00000 5650
-1.67025 0.88576 0.07557 -0.32912 -0.22330 -0.41206 -0.61901 -0.46379 -0.51938 -0.61134 -0.60478 -0.48903 -0.34002 1.10634 2.01892 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 -0.69379 1.00000 8682
0.11682 0.26283 -0.47561 -0.32912 -0.22330 -0.27154 -0.56848 -0.61732 -0.62180 1.76551 -0.55380 2.15138 -0.16498 -0.23976 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 -0.21448 1.00000 11984
-1.61351 0.64617 1.54539 -0.32912 -0.22330 -0.41206 -0.36636 -0.51497 -0.62180 -0.61134 -0.60478 -0.48903 -0.34002 -0.32950 0.63255 4.54414 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 -0.69379 1.00000 5800
-0.47887 -0.21635 -0.47561 -0.32912 -0.22330 -0.41206 -0.61901 -0.61732 -0.62180 -0.04296 2.04638 -0.42902 -0.34002 -0.32950 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 1.70280 1.00000 8955
-1.52842 0.83784 -0.41437 -0.32912 -0.22330 -0.41206 -0.61901 -0.51497 -0.62180 -0.61134 -0.60478 -0.48903 2.54817 0.65764 -0.32058 -0.27843 -0.07215 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 -0.69379 1.00000 1984
-0.45050 -0.83928 -0.47561 -0.32912 -0.22330 -0.41206 0.84634 0.50852 -0.62180 -0.61134 -0.60478 -0.48903 -0.34002 -0.32950 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 1.70280 1.00000 8100
0.08845 -0.83928 -0.47561 -0.32912 -0.22330 -0.41206 -0.56848 -0.20792 0.65844 1.30047 -0.60478 -0.48903 -0.34002 -0.32950 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 1.70280 1.00000 14209
-0.79090 0.02324 -0.47561 -0.25433 3.16713 -0.41206 -0.61901 -0.51497 -0.51938 -0.24964 0.26194 1.19123 -0.34002 -0.32950 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 0.47485 6.27011 -0.69379 1.00000 2236
-1.15966 0.35866 -0.47561 -0.32912 -0.22330 -0.27154 -0.61901 -0.61732 -0.62180 -0.50800 -0.60478 1.49127 0.71023 -0.32950 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 -0.45414 1.00000 12258
1.22310 -0.31219 -0.47561 -0.32912 -0.22330 -0.41206 -0.61901 -0.61732 0.45360 2.33388 1.84245 -0.48903 -0.34002 -0.32950 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 -0.69379 1.00000 5944
0.40048 -0.79137 -0.47561 -0.32912 -0.22330 -0.27154 -0.56848 1.02026 1.78505 -0.61134 -0.55380 -0.42902 -0.34002 -0.32950 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 0.26484 1.00000 6671
1.50676 -0.83928 -0.47561 -0.32912 -0.22330 3.10101 -0.01266 -0.61732 0.96570 0.99045 -0.60478 -0.48903 -0.34002 -0.32950 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 -0.69379 1.00000 1547
-1.27312 2.37121 1.85160 -0.32912 -0.22330 -0.41206 -0.61901 -0.61732 -0.62180 -0.61134 -0.60478 1.67130 0.44767 -0.32950 2.10557 4.44153 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 -0.69379 1.00000 1043
0.65578 0.16699 -0.47561 -0.32912 -0.22330 1.13369 -0.56848 -0.61732 -0.62180 0.42207 2.25032 0.41111 -0.34002 -0.32950 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 -0.21448 1.00000 3675
-0.67743 -0.69553 -0.47561 2.36305 4.10242 -0.41206 -0.61901 -0.61732 -0.62180 1.14546 0.00702 -0.48903 -0.34002 -0.32950 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 3.04814 10.24400 -0.16049 -0.11275 -0.69379 1.00000 1780
-0.84763 0.59825 -0.35313 -0.32912 -0.22330 -0.41206 -0.41689 -0.51497 -0.62180 -0.61134 -0.60478 3.11153 -0.25250 -0.32950 -0.32058 -0.27843 -0.07215 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 -0.69379 1.00000 14578
1.10963 -0.07260 -0.47561 -0.32912 -0.22330 3.17127 0.08840 -0.61732 -0.62180 -0.61134 2.30130 -0.18899 -0.34002 -0.32950 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 -0.69379 1.00000 8571
-0.28031 0.78992 -0.41437 -0.10477 -0.22330 -0.41206 -0.56848 -0.56614 -0.62180 -0.61134 1.43457 2.57144 -0.34002 -0.32950 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.00110 0.25606 -0.15784 -0.16097 -0.16049 -0.11275 -0.69379 1.00000 13278
0.40048 0.35866 -0.47561 -0.32912 -0.22330 1.20395 0.54317 -0.61732 -0.62180 -0.61134 0.46588 2.03136 -0.34002 -0.32950 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 0.74416 1.00000 8163
-0.16684 2.41913 -0.04691 -0.32912 -0.22330 -0.41206 1.60428 0.35500 -0.62180 -0.61134 -0.60478 -0.48903 -0.34002 4.60619 1.49903 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 -0.69379 1.00000 12850
-0.39377 -0.83928 -0.47561 -0.32912 -0.22330 1.20395 0.54317 -0.56614 -0.36575 -0.61134 -0.60478 -0.48903 -0.34002 -0.32950 -0.32058 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 1.70280 1.00000 8033
0.68414 3.66499 -0.04691 -0.32912 -0.22330 2.89022 0.99793 -0.61732 -0.51938 -0.55967 -0.14593 -0.42902 1.23536 5.41384 1.49903 -0.27843 -0.22148 -0.19714 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 -0.69379 1.00000 5114
0.03172 -0.83928 -0.23064 -0.32912 -0.22330 -0.41206 -0.51795 2.04375 -0.00728 -0.50800 -0.55380 -0.48903 -0.34002 -0.32950 -0.32058 -0.27843 -0.22148 0.11866 -0.17127 -0.17371 -0.17692 -0.16450 -0.15784 -0.16097 -0.16049 -0.11275 1.70280 1.00000 13520
