Focal_depth Latitude Longitude Y outlier number
-0.63002 0.48260 0.56959 -0.93557 1.00000 1057
-0.05462 0.91845 0.71028 -0.93557 1.00000 349
-0.13191 -0.43132 0.81394 -0.93557 1.00000 146
-0.28650 -0.21488 0.60039 0.64852 1.00000 363
0.23737 -0.41921 -1.11911 2.23262 1.00000 1874
1.01030 -1.01714 -1.95362 -0.93557 1.00000 1752
-0.42391 1.06514 0.70792 -0.40754 1.00000 89
-0.31226 1.00358 0.74040 -0.40754 1.00000 1653
-0.08897 -1.01092 -1.94336 -0.40754 1.00000 154
-0.28650 1.34905 0.84473 -0.40754 1.00000 1994
-0.55273 -2.17535 -0.59643 0.12049 1.00000 2013
-0.07180 0.03399 0.60039 -0.93557 1.00000 1585
-0.24356 1.49051 -1.82001 0.12049 1.00000 1078
-0.33802 0.92237 0.11835 0.64852 1.00000 1836
0.35761 -0.44180 0.80586 -0.93557 1.00000 2171
-0.35520 -0.40480 -1.32114 0.12049 1.00000 892
-0.42391 0.77666 0.23025 0.12049 1.00000 1762
-0.62143 1.19252 0.79517 -0.93557 1.00000 1378
-0.24356 -0.10321 0.61107 0.64852 1.00000 409
-0.32085 -0.42608 0.39938 -0.40754 1.00000 1404
-0.32944 1.23018 0.80788 -0.93557 1.00000 2
-0.41532 1.15650 0.77002 1.70458 1.00000 864
-0.21779 1.05892 0.73602 -0.40754 1.00000 394
-0.55273 0.85328 0.72988 -0.93557 1.00000 2033
-0.27791 -0.57246 0.54250 0.12049 1.00000 919
-0.58708 -2.09185 -0.69824 0.64852 1.00000 519
-0.63861 -2.16225 -0.55192 -0.93557 1.00000 1602
4.74609 -0.95099 -1.96944 -0.40754 1.00000 196
-0.63861 1.37262 0.20232 -0.93557 1.00000 93
-0.32085 -0.52956 0.50447 0.64852 1.00000 1197
-0.06321 0.69512 0.72559 1.17655 1.00000 4
-0.28650 1.53766 0.95041 -0.93557 1.00000 1082
-0.27791 0.46852 0.56042 -0.40754 1.00000 825
-0.30367 -0.75911 -1.92207 0.12049 1.00000 1618
-0.10615 -0.42248 0.66535 1.17655 1.00000 1376
0.11714 -2.09414 -0.69446 -0.93557 1.00000 130
-0.63002 -0.78628 -1.91770 -0.40754 1.00000 736
-0.22638 1.35134 0.84684 -0.40754 1.00000 1856
-0.44108 1.61789 -1.74327 -0.93557 1.00000 203
-0.27791 0.30971 -0.97692 0.64852 1.00000 310
-0.34661 1.20104 0.80081 1.70458 1.00000 998
-0.32085 -0.10714 0.58642 -0.93557 1.00000 1384
-0.41532 -0.21651 0.60148 -0.93557 1.00000 2022
-0.22638 -0.41986 0.82799 -0.93557 1.00000 641
0.41772 -0.46964 0.42925 -0.40754 1.00000 1477
-0.28650 1.41978 -1.97382 -0.93557 1.00000 181
-0.15768 -2.08530 -0.70396 1.17655 1.00000 705
0.90724 -1.04825 -1.02446 -0.40754 1.00000 2039
0.16867 -0.42084 0.83009 2.76065 1.00000 1863
-0.34661 1.14210 0.19929 0.64852 1.00000 1372
-0.35520 -2.06794 -1.54638 -0.93557 1.00000 692
-0.28650 1.15127 0.76421 2.76065 1.00000 860
