Company1 Company2 Company3 Company4 Company5 Company6 Company7 Company8 Company9 Y outlier number
-1.08280 0.86133 1.39085 -0.33064 0.31566 1.35715 -0.67190 -0.60440 1.12136 -1.45259 1.00000 136
1.13440 -0.21594 0.06249 1.47612 -0.44526 0.65618 1.91322 0.99569 -0.19664 0.19216 1.00000 925
0.46023 -1.80986 -0.25815 -0.64292 -0.99627 -1.33368 -0.30259 1.16412 -2.30543 -0.36247 1.00000 736
0.26989 -0.02907 -0.85362 -0.97751 0.13199 -1.26584 -0.76422 -0.85704 0.74060 0.78503 1.00000 488
0.97167 -0.36984 -0.39557 2.45757 -0.45400 0.18132 2.13480 1.50098 -0.22592 -0.01822 1.00000 864
2.02940 -0.72160 -1.08265 -0.28603 -1.28489 -1.03972 -0.93041 1.54309 1.44353 1.95165 1.00000 619
0.70433 -1.83185 -0.30396 -0.35295 -1.28489 -1.10756 -0.41338 1.33255 -2.42258 0.09653 1.00000 740
0.06067 -0.35884 -1.99876 -0.66523 -0.22660 -1.10756 -0.80115 -0.43597 0.47701 0.45990 1.00000 524
-0.07882 0.75141 0.15410 0.74003 0.43811 -0.58748 1.58084 0.61672 0.53558 0.86153 1.00000 461
-1.08280 0.59751 0.29152 -1.04442 0.98912 0.27177 -0.26566 -0.89915 -0.75312 -0.99359 1.00000 248
-0.77762 0.77339 1.02441 -0.08528 2.03867 0.88229 -0.41338 -0.56229 0.09625 -0.40072 1.00000 301
1.18089 0.42163 0.47474 1.40920 0.07952 0.06826 1.30387 1.07990 -0.43095 -0.36247 1.00000 945
-0.80384 0.76240 1.29924 -0.28603 1.12906 1.60588 0.34368 -0.56229 0.21341 -0.72584 1.00000 207
-0.39116 1.14714 0.61216 -0.28603 1.25151 0.38483 -0.26566 -0.47808 -0.07948 0.45990 1.00000 341
0.38612 -0.40281 -2.09037 -1.02212 -0.58520 -1.19801 -0.96734 -0.39386 0.79918 0.57465 1.00000 530
-1.78598 0.46560 0.10829 -0.33064 -0.03418 0.88229 -0.70883 -2.28870 0.88705 -1.91159 1.00000 13
0.79732 -0.93046 -1.03685 1.83301 -1.22367 0.70140 1.67317 1.50098 -0.87028 -0.07559 1.00000 831
0.78569 -1.75490 -0.62459 -0.86598 -0.66391 -1.53718 -0.19180 0.53251 -2.15898 -0.20947 1.00000 726
-0.94332 0.58652 0.47474 -0.41986 1.94246 0.65618 -0.48724 -0.64651 0.24270 -0.43897 1.00000 290
-0.92872 0.58652 0.47474 -0.21911 2.05616 0.72401 -0.33952 -0.35175 0.33056 -0.38159 1.00000 287
1.30875 -1.24924 -1.31168 -1.49054 -1.29364 -1.58241 -1.28124 0.74304 -0.87028 0.74678 1.00000 657
0.73920 0.24575 0.10829 2.36835 -0.37529 1.15364 2.44870 0.74304 -0.34308 -0.36247 1.00000 919
-1.03194 0.66347 1.20763 -0.91059 0.20196 1.13103 -0.48724 -0.85704 -0.34308 -1.60559 1.00000 175
0.16239 0.01490 -0.57879 -1.04442 0.51683 -1.17539 -0.30259 -0.64651 0.38914 0.55553 1.00000 478
0.85543 -1.28222 -1.17426 1.20845 -1.57352 0.38483 1.26694 1.24833 -1.07530 0.19216 1.00000 812
1.07628 -1.78788 -1.22007 0.67312 -1.42483 0.36222 1.04536 1.75362 -0.69454 0.51728 1.00000 805
1.21576 -1.49108 -0.44137 1.18615 -1.18869 -0.18047 0.78685 1.41676 -0.63597 0.30690 1.00000 785
-1.02608 0.78438 1.25343 -0.73214 0.36814 1.28931 -0.61650 -0.47808 0.68203 -1.45259 1.00000 146
1.14602 -0.94145 -1.81554 -0.39756 -0.96128 -1.22062 -0.98580 0.44829 1.32638 1.53090 1.00000 596
-0.86633 0.59751 1.34504 -0.48678 0.86668 1.58327 0.32522 -0.47808 0.38914 -0.95534 1.00000 199
-1.55351 0.82835 0.06249 0.13778 0.05328 0.85968 -0.24720 -1.69919 0.82847 -1.33784 1.00000 32
-1.05658 0.55354 0.33732 -0.95520 0.99787 0.38483 -0.39492 -0.56229 -0.69454 -0.95534 1.00000 251
0.76244 -0.65564 -1.12846 1.74379 -0.84758 -0.09002 1.26694 1.45887 -1.19245 -0.17122 1.00000 839
