Max_temperature Min_temperature Dewpoint Precipitation Sea_level_pressure Standard_pressure Visibility Wind_speed Max_wind_speed Y outlier number
-0.99947 -0.38043 -0.31330 1.33391 -0.63548 -1.28025 -0.14757 0.00552 -0.74677 -0.65097 1.00000 971
0.25983 0.53404 1.07352 0.79145 0.80415 1.25125 -0.21519 0.04169 1.54345 0.39099 1.00000 334
-0.50694 -0.38043 -0.03594 4.04624 -1.77724 -2.58217 -1.29716 -0.79031 -0.56668 -0.59273 1.00000 590
1.56949 1.23863 0.98107 -0.29348 -0.63548 -0.26765 0.52866 -0.29703 -0.56668 1.59475 1.00000 922
0.53407 0.99877 0.61125 -0.29348 0.70486 1.46824 0.25817 2.36998 0.90677 0.61103 1.00000 683
-0.66925 -0.78519 -0.61840 -0.29348 -0.03977 -0.41230 -0.14757 -1.01722 -0.95597 -0.76747 1.00000 285
1.60867 1.18616 0.54653 -0.29348 -0.53619 0.31098 0.32579 -1.01722 -1.16698 1.51062 1.00000 1138
0.25983 0.02434 -0.50746 -0.29348 1.15164 1.54057 0.32579 0.41987 -0.36659 0.02857 1.00000 1321
-0.64687 0.15926 0.18596 0.79145 -1.87653 -2.36518 0.19055 -0.14575 -0.56668 -0.26266 1.00000 1373
1.06577 1.14118 1.56353 -0.29348 -1.62832 -1.35258 0.52866 -0.52394 0.08819 1.07700 1.00000 1283
1.36801 1.20865 1.10126 -0.29348 -0.23834 0.16632 0.32579 2.43575 1.76174 1.49120 1.00000 250
1.39039 0.96879 0.86088 -0.29348 -0.33762 -0.05066 0.19055 -0.33649 0.70667 1.12878 1.00000 460
-0.94910 -0.54533 -0.98822 0.24898 -0.58583 -1.28025 0.46104 1.48207 1.10687 -0.90985 1.00000 891
-1.02745 -0.24551 -0.21160 0.24898 -0.68512 -1.20792 -0.28281 -0.44830 -0.95597 -0.78041 1.00000 61
-0.52374 -0.54533 -0.33179 -0.29348 0.40701 0.16632 -1.09429 -0.59957 -0.36659 -0.59920 1.00000 968
-1.45281 -1.05503 -1.01596 0.79145 -0.38726 -0.91861 -0.14757 1.17953 0.50657 -1.20108 1.00000 1164
-0.54612 0.24171 -0.17462 -0.02225 1.25093 1.46824 0.52866 2.66595 1.10687 -0.28855 1.00000 134
0.66280 -0.50036 0.84239 -0.29348 -0.23834 0.02167 -0.28281 -0.37266 -0.11191 0.45571 1.00000 1193
0.78593 0.56402 0.70370 -0.29348 -0.33762 0.09400 0.52866 -0.82648 -0.74677 0.79871 1.00000 1123
-1.32968 -0.92011 -1.46899 0.24898 -0.53619 -0.91861 1.13727 2.60018 1.10687 -1.12989 1.00000 431
1.16652 0.51155 -0.09141 17.60787 -0.08941 0.23865 0.52866 -0.63904 -0.56668 0.96051 1.00000 467
-0.62448 -1.08501 -0.82180 -0.29348 1.20128 1.25125 -1.29716 -1.01722 -0.95597 -0.92926 1.00000 668
1.26726 0.72893 1.08277 -0.29348 -0.23834 -0.05066 0.46104 -0.44830 -0.11191 1.16761 1.00000 571
0.74116 -0.38043 -0.03594 -0.29348 1.05236 1.61290 0.39341 -1.05339 -0.95597 0.36510 1.00000 424
-0.97148 -0.95009 -1.41351 -0.29348 0.70486 0.02167 0.19055 -0.33649 0.28828 -1.14283 1.00000 81
-1.61512 -1.74463 -2.06994 -0.29348 1.25093 0.88961 0.46104 -1.28030 -1.16698 -1.75766 1.00000 113
0.62362 0.15926 0.47257 -0.29348 0.80415 1.32358 0.32579 -0.86595 -0.36659 0.33922 1.00000 1344
1.87172 1.50847 0.92559 -0.29348 -1.67796 -1.64189 0.46104 1.21570 3.43530 1.67241 1.00000 1325
-1.15058 -1.59472 -1.83881 -0.29348 0.60558 0.09400 -0.62093 -1.20467 1.36154 -1.46642 1.00000 1399
0.71317 0.26420 0.63898 -0.29348 -0.63548 -0.41230 0.66391 0.08115 0.08819 0.66928 1.00000 701
-0.60769 0.42910 0.27841 0.24898 -0.38726 -0.41230 0.39341 -0.10958 -0.74677 -0.20442 1.00000 124
-0.10397 -0.73272 -0.13764 -0.29348 -0.73476 -1.28025 -0.35044 -1.16849 -1.16698 -0.38563 1.00000 154
0.33818 -0.19304 0.55578 -0.29348 0.30773 0.52797 -0.89142 0.08115 0.50657 0.19036 1.00000 160
0.25983 0.96879 0.72219 -0.29348 -0.63548 -0.77395 1.00202 2.23844 8.01938 0.59162 1.00000 1296
-0.16554 -0.89013 -0.66463 -0.29348 1.35021 1.32358 -1.97338 -1.43157 -1.35435 -0.60567 1.00000 597
1.41838 1.59092 1.48957 -0.29348 -1.23118 -0.48463 0.39341 0.98879 0.28828 1.58181 1.00000 350
-0.06479 0.26420 0.50030 -0.29348 -0.48655 -0.62929 -0.35044 -0.22139 -0.11191 0.07387 1.00000 97
0.50049 0.12928 -0.02669 -0.29348 1.05236 1.54057 0.25817 0.68625 0.50657 0.33274 1.00000 506
1.30644 1.83078 1.03654 -0.29348 -1.08225 -0.19532 0.66391 0.95262 0.90677 1.51709 1.00000 787
-0.74761 -0.07311 0.15822 0.79145 -1.47939 -2.29285 -2.51437 -0.75085 -0.36659 -0.56037 1.00000 1161
-0.48456 -0.11058 0.04727 -0.29348 0.25808 0.16632 0.52866 0.68625 0.28828 -0.27561 1.00000 382
1.32883 1.10371 1.35089 -0.29348 -1.08225 -0.55696 0.59628 -0.03394 -0.36659 1.32293 1.00000 663
1.22808 0.79639 0.88861 -0.29348 -1.03261 -0.55696 0.59628 -0.63904 -0.74677 1.19350 1.00000 442
0.58444 -0.43290 0.58351 0.24898 -1.67796 -1.85888 -0.07995 0.08115 0.90677 0.45571 1.00000 1273
-1.63191 -0.65027 -0.97898 -0.29348 -0.28798 -1.35258 -2.17625 0.38370 0.08819 -1.25285 1.00000 1495
-0.84835 -0.78519 -0.69237 -0.29348 0.40701 0.16632 0.25817 0.08115 0.28828 -0.83218 1.00000 813
