Max_temperature Min_temperature Dewpoint Precipitation Sea_level_pressure Standard_pressure Visibility Wind_speed Max_wind_speed Y outlier number
0.21203 -0.13919 0.19017 -0.26247 0.70924 0.15074 -0.25496 -0.21194 -0.00015 0.11776 1.00000 864
-0.67357 -0.51736 -0.70906 -0.26247 0.29166 0.00470 1.61744 0.76944 -0.00015 -0.66853 1.00000 176
-0.95622 -1.04679 -0.63412 -0.26247 0.70924 0.44283 -0.76562 -0.52038 -0.00015 -0.98165 1.00000 1253
0.04873 0.51883 0.72542 -0.26247 0.29166 0.58888 1.46943 0.44698 -0.00015 0.24997 1.00000 1390
-0.49143 -1.29639 -0.99810 -0.26247 1.00751 -0.57948 -1.44649 -1.19333 -0.00015 -0.92598 1.00000 1296
0.59517 0.76086 0.62908 -0.26247 -0.06627 0.15074 0.98837 0.44698 -0.00015 0.68139 1.00000 1175
-0.85572 -0.97116 -0.17380 -0.26247 1.72337 0.15074 0.30380 0.13855 -0.00015 -0.71028 1.00000 424
1.99581 1.45669 0.25440 -0.26247 -0.84178 -0.14135 -0.74342 -0.84283 -0.00015 1.88517 1.00000 1433
0.41302 0.48858 0.50062 0.02108 -0.60316 0.29679 0.63683 0.76944 -0.00015 0.61180 1.00000 70
0.43815 0.08015 0.67190 -0.26247 -0.00661 0.58888 -1.23372 -1.81019 -0.00015 0.40305 1.00000 112
-0.83060 -0.05599 0.76824 0.58816 -0.84178 0.73493 -1.04315 -0.84283 -0.00015 -0.42499 1.00000 787
-0.89969 -0.42659 -1.12656 -0.26247 0.41097 0.44283 2.09849 1.41434 1.98675 -0.69636 1.00000 859
-0.15226 0.43563 1.32491 -0.26247 0.23200 -1.45576 0.15578 -0.21194 -0.00015 0.11776 1.00000 1149
-0.37837 -1.00898 -0.36650 -0.26247 0.76890 -2.03994 -1.14861 -0.84283 -0.00015 -0.77986 1.00000 1243
0.08642 -0.22238 0.41498 -0.00728 0.17235 0.15074 -1.36138 -1.19333 -0.00015 -0.12578 1.00000 351
1.33004 0.84406 0.82177 -0.26247 -0.54351 0.00470 0.10028 0.76944 -0.00015 1.25892 1.00000 1306
0.55748 1.44157 1.26068 -0.26247 -0.54351 0.73493 0.52582 -0.21194 -0.00015 0.86230 1.00000 236
1.56871 0.69279 0.68260 -0.26247 -0.72247 -0.28739 -0.63796 -0.21194 -0.00015 1.15455 1.00000 1279
-1.33935 -1.14512 -1.03021 2.85651 -0.30489 0.58888 0.41481 0.13855 -0.00015 -1.23215 1.00000 542
